year,Graham (F),Graham (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000032
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000027
1887,0.000000,0.000036
1888,0.000000,0.000027
1889,0.000000,0.000024
1890,0.000000,0.000017
1891,0.000000,0.000024
1892,0.000000,0.000039
1893,0.000000,0.000018
1894,0.000000,0.000035
1895,0.000000,0.000040
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000026
1899,0.000000,0.000015
1900,0.000000,0.000033
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000034
1904,0.000000,0.000030
1905,0.000000,0.000028
1906,0.000000,0.000028
1907,0.000000,0.000037
1908,0.000000,0.000037
1909,0.000000,0.000037
1910,0.000000,0.000044
1911,0.000000,0.000043
1912,0.000000,0.000049
1913,0.000000,0.000047
1914,0.000000,0.000048
1915,0.000003,0.000053
1916,0.000000,0.000056
1917,0.000000,0.000046
1918,0.000000,0.000039
1919,0.000000,0.000044
1920,0.000000,0.000048
1921,0.000000,0.000055
1922,0.000000,0.000046
1923,0.000000,0.000051
1924,0.000000,0.000038
1925,0.000000,0.000041
1926,0.000000,0.000044
1927,0.000000,0.000041
1928,0.000000,0.000052
1929,0.000000,0.000048
1930,0.000000,0.000046
1931,0.000000,0.000048
1932,0.000000,0.000054
1933,0.000000,0.000050
1934,0.000000,0.000053
1935,0.000000,0.000056
1936,0.000000,0.000046
1937,0.000000,0.000048
1938,0.000000,0.000051
1939,0.000000,0.000039
1940,0.000000,0.000037
1941,0.000000,0.000041
1942,0.000000,0.000037
1943,0.000000,0.000033
1944,0.000000,0.000037
1945,0.000000,0.000029
1946,0.000000,0.000031
1947,0.000000,0.000031
1948,0.000000,0.000027
1949,0.000000,0.000029
1950,0.000000,0.000028
1951,0.000000,0.000029
1952,0.000000,0.000024
1953,0.000000,0.000024
1954,0.000000,0.000023
1955,0.000000,0.000020
1956,0.000000,0.000023
1957,0.000000,0.000023
1958,0.000000,0.000026
1959,0.000000,0.000027
1960,0.000000,0.000023
1961,0.000000,0.000027
1962,0.000000,0.000027
1963,0.000000,0.000029
1964,0.000000,0.000025
1965,0.000000,0.000024
1966,0.000000,0.000030
1967,0.000000,0.000031
1968,0.000002,0.000033
1969,0.000000,0.000046
1970,0.000000,0.000049
1971,0.000000,0.000060
1972,0.000000,0.000062
1973,0.000000,0.000058
1974,0.000000,0.000062
1975,0.000000,0.000077
1976,0.000000,0.000082
1977,0.000000,0.000078
1978,0.000000,0.000094
1979,0.000000,0.000110
1980,0.000002,0.000130
1981,0.000000,0.000129
1982,0.000000,0.000135
1983,0.000002,0.000152
1984,0.000000,0.000148
1985,0.000002,0.000146
1986,0.000000,0.000159
1987,0.000000,0.000132
1988,0.000000,0.000132
1989,0.000000,0.000130
1990,0.000001,0.000147
1991,0.000000,0.000161
1992,0.000000,0.000149
1993,0.000001,0.000177
1994,0.000000,0.000158
1995,0.000002,0.000173
1996,0.000000,0.000158
1997,0.000001,0.000153
1998,0.000002,0.000163
1999,0.000000,0.000162
2000,0.000000,0.000164
2001,0.000001,0.000169
2002,0.000002,0.000166
2003,0.000000,0.000174
2004,0.000002,0.000161
2005,0.000000,0.000174
2006,0.000000,0.000164
2007,0.000001,0.000199
2008,0.000002,0.000262
2009,0.000000,0.000348
2010,0.000000,0.000322
2011,0.000002,0.000371
2012,0.000002,0.000469
2013,0.000002,0.000517
2014,0.000003,0.000551
2015,0.000003,0.000643
2016,0.000004,0.000614
2017,0.000003,0.000591
2018,0.000002,0.000620
2019,0.000002,0.000622
2020,0.000002,0.000630
