year,Gerry (F),Gerry (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000017
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000012,0.000000
1911,0.000000,0.000008
1912,0.000009,0.000000
1913,0.000007,0.000000
1914,0.000010,0.000004
1915,0.000008,0.000005
1916,0.000012,0.000005
1917,0.000012,0.000006
1918,0.000014,0.000010
1919,0.000020,0.000008
1920,0.000019,0.000004
1921,0.000028,0.000008
1922,0.000028,0.000009
1923,0.000030,0.000003
1924,0.000034,0.000008
1925,0.000030,0.000009
1926,0.000044,0.000017
1927,0.000037,0.000014
1928,0.000051,0.000018
1929,0.000049,0.000019
1930,0.000058,0.000028
1931,0.000066,0.000031
1932,0.000072,0.000035
1933,0.000059,0.000041
1934,0.000061,0.000050
1935,0.000067,0.000056
1936,0.000068,0.000065
1937,0.000069,0.000078
1938,0.000079,0.000077
1939,0.000091,0.000077
1940,0.000081,0.000094
1941,0.000077,0.000096
1942,0.000089,0.000121
1943,0.000088,0.000097
1944,0.000068,0.000106
1945,0.000075,0.000104
1946,0.000062,0.000105
1947,0.000065,0.000104
1948,0.000061,0.000097
1949,0.000053,0.000086
1950,0.000044,0.000083
1951,0.000042,0.000071
1952,0.000035,0.000082
1953,0.000031,0.000087
1954,0.000029,0.000084
1955,0.000028,0.000098
1956,0.000025,0.000109
1957,0.000029,0.000122
1958,0.000027,0.000127
1959,0.000031,0.000116
1960,0.000024,0.000103
1961,0.000018,0.000091
1962,0.000014,0.000081
1963,0.000013,0.000074
1964,0.000020,0.000076
1965,0.000012,0.000082
1966,0.000011,0.000074
1967,0.000014,0.000069
1968,0.000012,0.000062
1969,0.000011,0.000068
1970,0.000011,0.000054
1971,0.000010,0.000058
1972,0.000009,0.000051
1973,0.000010,0.000041
1974,0.000007,0.000039
1975,0.000005,0.000038
1976,0.000005,0.000035
1977,0.000004,0.000032
1978,0.000005,0.000036
1979,0.000004,0.000032
1980,0.000003,0.000027
1981,0.000004,0.000026
1982,0.000000,0.000030
1983,0.000003,0.000023
1984,0.000002,0.000021
1985,0.000001,0.000021
1986,0.000003,0.000019
1987,0.000000,0.000019
1988,0.000001,0.000020
1989,0.000000,0.000019
1990,0.000002,0.000018
1991,0.000002,0.000015
1992,0.000003,0.000019
1993,0.000002,0.000017
1994,0.000002,0.000013
1995,0.000001,0.000012
1996,0.000000,0.000016
1997,0.000000,0.000010
1998,0.000000,0.000014
1999,0.000000,0.000009
2000,0.000000,0.000007
2001,0.000000,0.000010
2002,0.000000,0.000009
2003,0.000000,0.000009
2004,0.000000,0.000007
2005,0.000000,0.000009
2006,0.000000,0.000005
2007,0.000000,0.000006
2008,0.000000,0.000006
2009,0.000000,0.000008
2010,0.000000,0.000003
2011,0.000000,0.000004
2012,0.000000,0.000002
2013,0.000000,0.000005
