year,Grady (F),Grady (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000028
1888,0.000000,0.000030
1889,0.000000,0.000114
1890,0.000000,0.000143
1891,0.000024,0.000115
1892,0.000000,0.000111
1893,0.000000,0.000135
1894,0.000000,0.000112
1895,0.000000,0.000168
1896,0.000014,0.000159
1897,0.000017,0.000104
1898,0.000000,0.000144
1899,0.000000,0.000141
1900,0.000000,0.000175
1901,0.000017,0.000159
1902,0.000000,0.000181
1903,0.000000,0.000171
1904,0.000012,0.000146
1905,0.000017,0.000167
1906,0.000014,0.000154
1907,0.000000,0.000202
1908,0.000018,0.000196
1909,0.000014,0.000194
1910,0.000010,0.000193
1911,0.000008,0.000269
1912,0.000009,0.000255
1913,0.000011,0.000311
1914,0.000007,0.000288
1915,0.000006,0.000271
1916,0.000008,0.000272
1917,0.000006,0.000263
1918,0.000008,0.000262
1919,0.000008,0.000287
1920,0.000003,0.000266
1921,0.000005,0.000265
1922,0.000007,0.000252
1923,0.000007,0.000258
1924,0.000005,0.000244
1925,0.000006,0.000229
1926,0.000009,0.000251
1927,0.000009,0.000223
1928,0.000008,0.000227
1929,0.000006,0.000229
1930,0.000004,0.000229
1931,0.000005,0.000211
1932,0.000004,0.000220
1933,0.000004,0.000230
1934,0.000002,0.000221
1935,0.000005,0.000227
1936,0.000006,0.000225
1937,0.000007,0.000236
1938,0.000004,0.000213
1939,0.000005,0.000221
1940,0.000003,0.000212
1941,0.000004,0.000186
1942,0.000003,0.000175
1943,0.000002,0.000168
1944,0.000000,0.000169
1945,0.000002,0.000158
1946,0.000002,0.000136
1947,0.000001,0.000136
1948,0.000002,0.000120
1949,0.000004,0.000131
1950,0.000002,0.000120
1951,0.000003,0.000127
1952,0.000001,0.000113
1953,0.000000,0.000104
1954,0.000002,0.000107
1955,0.000002,0.000100
1956,0.000000,0.000089
1957,0.000000,0.000090
1958,0.000001,0.000086
1959,0.000001,0.000088
1960,0.000000,0.000086
1961,0.000000,0.000081
1962,0.000001,0.000085
1963,0.000000,0.000072
1964,0.000000,0.000082
1965,0.000000,0.000079
1966,0.000000,0.000077
1967,0.000000,0.000069
1968,0.000000,0.000069
1969,0.000002,0.000078
1970,0.000001,0.000081
1971,0.000000,0.000077
1972,0.000000,0.000082
1973,0.000000,0.000079
1974,0.000002,0.000082
1975,0.000000,0.000069
1976,0.000000,0.000054
1977,0.000000,0.000050
1978,0.000000,0.000051
1979,0.000000,0.000042
1980,0.000000,0.000042
1981,0.000000,0.000041
1982,0.000000,0.000043
1983,0.000000,0.000035
1984,0.000000,0.000036
1985,0.000000,0.000037
1986,0.000000,0.000044
1987,0.000001,0.000045
1988,0.000000,0.000047
1989,0.000000,0.000044
1990,0.000000,0.000044
1991,0.000000,0.000033
1992,0.000000,0.000044
1993,0.000000,0.000054
1994,0.000000,0.000054
1995,0.000000,0.000054
1996,0.000002,0.000047
1997,0.000000,0.000043
1998,0.000000,0.000049
1999,0.000000,0.000056
2000,0.000002,0.000061
2001,0.000001,0.000067
2002,0.000000,0.000087
2003,0.000000,0.000096
2004,0.000002,0.000111
2005,0.000000,0.000120
2006,0.000002,0.000141
2007,0.000002,0.000237
2008,0.000002,0.000305
2009,0.000004,0.000299
2010,0.000002,0.000275
2011,0.000001,0.000299
2012,0.000002,0.000259
2013,0.000000,0.000253
