year,Gisele
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,6
1924,7
1925,7
1926,10
1927,5
1928,7
1929,5
1930,14
1931,16
1932,9
1933,0
1934,9
1935,5
1936,6
1937,0
1938,0
1939,7
1940,5
1941,0
1942,0
1943,5
1944,5
1945,0
1946,9
1947,9
1948,0
1949,0
1950,6
1951,17
1952,24
1953,29
1954,48
1955,140
1956,179
1957,201
1958,170
1959,120
1960,96
1961,63
1962,82
1963,100
1964,70
1965,57
1966,58
1967,38
1968,28
1969,33
1970,22
1971,25
1972,17
1973,23
1974,17
1975,14
1976,18
1977,26
1978,26
1979,13
1980,11
1981,18
1982,13
1983,16
1984,16
1985,15
1986,17
1987,17
1988,22
1989,18
1990,21
1991,18
1992,15
1993,18
1994,21
1995,21
1996,13
1997,24
1998,35
1999,39
2000,54
2001,70
2002,64
2003,86
2004,103
2005,142
2006,179
2007,209
2008,223
2009,234
2010,177
2011,159
2012,127
