year,Gracia
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,10
1888,5
1889,6
1890,0
1891,5
1892,0
1893,0
1894,6
1895,6
1896,9
1897,0
1898,0
1899,5
1900,6
1901,5
1902,10
1903,0
1904,8
1905,7
1906,0
1907,6
1908,6
1909,8
1910,7
1911,6
1912,11
1913,14
1914,7
1915,27
1916,16
1917,11
1918,24
1919,18
1920,21
1921,26
1922,19
1923,27
1924,19
1925,17
1926,26
1927,24
1928,18
1929,17
1930,20
1931,11
1932,23
1933,12
1934,20
1935,16
1936,24
1937,15
1938,26
1939,18
1940,17
1941,18
1942,13
1943,14
1944,10
1945,12
1946,9
1947,18
1948,16
1949,17
1950,18
1951,11
1952,14
1953,11
1954,16
1955,16
1956,11
1957,9
1958,16
1959,17
1960,13
1961,11
1962,12
1963,12
1964,15
1965,9
1966,11
1967,10
1968,0
1969,21
1970,11
1971,12
1972,7
1973,8
1974,9
1975,8
1976,12
1977,8
1978,12
1979,8
1980,11
1981,10
1982,9
1983,8
1984,9
1985,7
1986,9
1987,11
1988,9
1989,16
1990,16
1991,10
1992,17
1993,15
1994,14
1995,15
1996,17
1997,15
1998,17
1999,14
2000,16
2001,21
2002,27
2003,48
2004,36
2005,38
2006,31
2007,17
2008,21
2009,23
2010,23
2011,23
2012,19
