year,Georgiann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,8
1917,9
1918,6
1919,6
1920,7
1921,7
1922,12
1923,12
1924,9
1925,6
1926,13
1927,22
1928,17
1929,18
1930,23
1931,18
1932,18
1933,27
1934,29
1935,28
1936,35
1937,30
1938,34
1939,39
1940,51
1941,59
1942,77
1943,67
1944,63
1945,56
1946,54
1947,72
1948,79
1949,70
1950,61
1951,56
1952,45
1953,68
1954,67
1955,65
1956,36
1957,50
1958,46
1959,37
1960,30
1961,33
1962,31
1963,26
1964,27
1965,11
1966,14
1967,28
1968,17
1969,23
1970,22
1971,14
1972,9
1973,7
1974,15
1975,7
1976,10
1977,10
1978,0
1979,0
1980,6
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
