year,Glenn (F),Glenn (M)
1880,0.000025,0.000213
1881,0.000026,0.000234
1882,0.000000,0.000230
1883,0.000023,0.000300
1884,0.000025,0.000251
1885,0.000037,0.000282
1886,0.000023,0.000388
1887,0.000020,0.000348
1888,0.000027,0.000367
1889,0.000024,0.000356
1890,0.000036,0.000388
1891,0.000042,0.000481
1892,0.000033,0.000416
1893,0.000022,0.000403
1894,0.000018,0.000419
1895,0.000066,0.000427
1896,0.000036,0.000487
1897,0.000029,0.000493
1898,0.000031,0.000467
1899,0.000035,0.000475
1900,0.000044,0.000431
1901,0.000029,0.000521
1902,0.000021,0.000478
1903,0.000013,0.000519
1904,0.000020,0.000538
1905,0.000033,0.000446
1906,0.000030,0.000506
1907,0.000015,0.000503
1908,0.000035,0.000505
1909,0.000020,0.000511
1910,0.000014,0.000591
1911,0.000019,0.000532
1912,0.000011,0.000959
1913,0.000018,0.000987
1914,0.000015,0.000936
1915,0.000015,0.001005
1916,0.000018,0.001018
1917,0.000013,0.000995
1918,0.000013,0.001038
1919,0.000009,0.001020
1920,0.000011,0.001050
1921,0.000014,0.001049
1922,0.000008,0.001059
1923,0.000017,0.001028
1924,0.000013,0.001086
1925,0.000021,0.001119
1926,0.000012,0.001147
1927,0.000016,0.001151
1928,0.000012,0.001149
1929,0.000018,0.001111
1930,0.000018,0.001242
1931,0.000007,0.001247
1932,0.000009,0.001154
1933,0.000012,0.001185
1934,0.000013,0.001126
1935,0.000010,0.001166
1936,0.000009,0.001120
1937,0.000012,0.001061
1938,0.000007,0.001071
1939,0.000006,0.001044
1940,0.000007,0.001071
1941,0.000009,0.001035
1942,0.000009,0.001057
1943,0.000011,0.001081
1944,0.000006,0.001060
1945,0.000005,0.001030
1946,0.000008,0.001219
1947,0.000007,0.001431
1948,0.000010,0.001374
1949,0.000007,0.001553
1950,0.000009,0.001559
1951,0.000007,0.001575
1952,0.000006,0.001567
1953,0.000008,0.001488
1954,0.000005,0.001567
1955,0.000005,0.001557
1956,0.000009,0.001505
1957,0.000008,0.001488
1958,0.000007,0.001319
1959,0.000009,0.001288
1960,0.000005,0.001338
1961,0.000008,0.001515
1962,0.000008,0.001823
1963,0.000006,0.001509
1964,0.000006,0.001222
1965,0.000004,0.001204
1966,0.000007,0.001054
1967,0.000005,0.001015
1968,0.000004,0.000960
1969,0.000005,0.000998
1970,0.000006,0.000834
1971,0.000004,0.000722
1972,0.000005,0.000630
1973,0.000004,0.000563
1974,0.000007,0.000508
1975,0.000005,0.000458
1976,0.000002,0.000435
1977,0.000003,0.000392
1978,0.000002,0.000353
1979,0.000003,0.000336
1980,0.000003,0.000332
1981,0.000002,0.000320
1982,0.000002,0.000310
1983,0.000003,0.000293
1984,0.000001,0.000293
1985,0.000006,0.000281
1986,0.000004,0.000276
1987,0.000003,0.000274
1988,0.000003,0.000250
1989,0.000005,0.000237
1990,0.000004,0.000216
1991,0.000003,0.000216
1992,0.000003,0.000181
1993,0.000005,0.000173
1994,0.000002,0.000149
1995,0.000002,0.000145
1996,0.000003,0.000132
1997,0.000003,0.000127
1998,0.000000,0.000120
1999,0.000003,0.000108
2000,0.000000,0.000089
2001,0.000001,0.000081
2002,0.000000,0.000086
2003,0.000000,0.000078
2004,0.000000,0.000077
2005,0.000000,0.000068
2006,0.000000,0.000060
2007,0.000000,0.000065
2008,0.000000,0.000063
2009,0.000000,0.000046
2010,0.000000,0.000051
2011,0.000000,0.000044
2012,0.000000,0.000049
