year,Gladyce
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,7
1898,6
1899,5
1900,9
1901,5
1902,0
1903,8
1904,8
1905,11
1906,13
1907,12
1908,19
1909,26
1910,19
1911,18
1912,36
1913,28
1914,41
1915,56
1916,43
1917,42
1918,55
1919,49
1920,52
1921,52
1922,46
1923,33
1924,30
1925,29
1926,30
1927,25
1928,28
1929,22
1930,17
1931,17
1932,18
1933,15
1934,12
1935,11
1936,6
1937,0
1938,8
1939,7
1940,10
1941,5
1942,6
1943,0
1944,6
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
