year,Geraldo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,5
1951,6
1952,0
1953,5
1954,16
1955,0
1956,12
1957,5
1958,16
1959,16
1960,13
1961,13
1962,23
1963,22
1964,20
1965,33
1966,20
1967,32
1968,32
1969,36
1970,35
1971,28
1972,33
1973,34
1974,46
1975,40
1976,53
1977,48
1978,49
1979,48
1980,50
1981,44
1982,45
1983,48
1984,53
1985,50
1986,43
1987,75
1988,115
1989,101
1990,91
1991,66
1992,74
1993,71
1994,64
1995,44
1996,48
1997,39
1998,34
1999,36
2000,39
2001,32
2002,33
2003,24
2004,28
2005,24
2006,17
2007,36
2008,33
2009,21
2010,13
2011,20
2012,31
