year,Gretta
1880,0
1881,5
1882,0
1883,0
1884,0
1885,5
1886,6
1887,7
1888,6
1889,9
1890,11
1891,8
1892,9
1893,10
1894,10
1895,16
1896,8
1897,7
1898,13
1899,6
1900,12
1901,7
1902,10
1903,10
1904,11
1905,13
1906,14
1907,10
1908,12
1909,11
1910,10
1911,18
1912,12
1913,15
1914,16
1915,31
1916,25
1917,18
1918,37
1919,24
1920,25
1921,15
1922,28
1923,29
1924,23
1925,19
1926,24
1927,30
1928,33
1929,34
1930,34
1931,36
1932,46
1933,40
1934,44
1935,42
1936,35
1937,42
1938,41
1939,29
1940,35
1941,28
1942,36
1943,22
1944,41
1945,31
1946,32
1947,35
1948,25
1949,30
1950,27
1951,25
1952,27
1953,24
1954,38
1955,28
1956,33
1957,36
1958,41
1959,35
1960,53
1961,21
1962,45
1963,24
1964,27
1965,27
1966,100
1967,77
1968,68
1969,49
1970,47
1971,55
1972,41
1973,29
1974,40
1975,33
1976,23
1977,28
1978,21
1979,19
1980,29
1981,31
1982,28
1983,21
1984,15
1985,13
1986,16
1987,8
1988,15
1989,17
1990,16
1991,12
1992,23
1993,19
1994,26
1995,26
1996,25
1997,26
1998,23
1999,38
2000,41
2001,44
2002,29
2003,39
2004,45
2005,57
2006,35
2007,49
2008,38
2009,46
2010,70
2011,42
2012,58
