year,Goldie (F),Goldie (M)
1880,0.000119,0.000000
1881,0.000202,0.000000
1882,0.000185,0.000000
1883,0.000235,0.000000
1884,0.000555,0.000000
1885,0.000693,0.000000
1886,0.000799,0.000000
1887,0.000643,0.000000
1888,0.000872,0.000000
1889,0.000851,0.000000
1890,0.000843,0.000000
1891,0.001067,0.000021
1892,0.000885,0.000015
1893,0.000926,0.000000
1894,0.001030,0.000000
1895,0.001020,0.000000
1896,0.001074,0.000017
1897,0.001153,0.000014
1898,0.001169,0.000026
1899,0.001170,0.000000
1900,0.001115,0.000011
1901,0.001243,0.000000
1902,0.001223,0.000000
1903,0.001128,0.000000
1904,0.001271,0.000025
1905,0.001293,0.000000
1906,0.001125,0.000021
1907,0.001117,0.000000
1908,0.001101,0.000025
1909,0.001037,0.000014
1910,0.001002,0.000000
1911,0.000920,0.000000
1912,0.000696,0.000010
1913,0.000696,0.000007
1914,0.000556,0.000012
1915,0.000574,0.000009
1916,0.000537,0.000011
1917,0.000504,0.000004
1918,0.000470,0.000008
1919,0.000469,0.000008
1920,0.000440,0.000002
1921,0.000422,0.000006
1922,0.000405,0.000005
1923,0.000382,0.000004
1924,0.000355,0.000004
1925,0.000327,0.000005
1926,0.000324,0.000006
1927,0.000286,0.000003
1928,0.000281,0.000004
1929,0.000245,0.000000
1930,0.000237,0.000002
1931,0.000201,0.000004
1932,0.000198,0.000002
1933,0.000190,0.000005
1934,0.000184,0.000000
1935,0.000165,0.000002
1936,0.000159,0.000003
1937,0.000123,0.000004
1938,0.000134,0.000003
1939,0.000121,0.000002
1940,0.000116,0.000003
1941,0.000092,0.000003
1942,0.000079,0.000000
1943,0.000077,0.000000
1944,0.000060,0.000003
1945,0.000067,0.000002
1946,0.000054,0.000000
1947,0.000040,0.000001
1948,0.000050,0.000000
1949,0.000041,0.000000
1950,0.000041,0.000000
1951,0.000034,0.000000
1952,0.000039,0.000000
1953,0.000030,0.000001
1954,0.000039,0.000000
1955,0.000031,0.000000
1956,0.000032,0.000000
1957,0.000029,0.000001
1958,0.000027,0.000000
1959,0.000024,0.000000
1960,0.000021,0.000000
1961,0.000023,0.000000
1962,0.000018,0.000000
1963,0.000019,0.000000
1964,0.000013,0.000000
1965,0.000013,0.000000
1966,0.000014,0.000000
1967,0.000014,0.000000
1968,0.000009,0.000000
1969,0.000016,0.000000
1970,0.000020,0.000000
1971,0.000019,0.000000
1972,0.000017,0.000000
1973,0.000020,0.000000
1974,0.000013,0.000003
1975,0.000020,0.000003
1976,0.000015,0.000003
1977,0.000018,0.000000
1978,0.000015,0.000002
1979,0.000014,0.000002
1980,0.000021,0.000000
1981,0.000019,0.000000
1982,0.000019,0.000002
1983,0.000012,0.000000
1984,0.000011,0.000000
1985,0.000012,0.000000
1986,0.000011,0.000000
1987,0.000012,0.000000
1988,0.000013,0.000000
1989,0.000009,0.000000
1990,0.000008,0.000000
1991,0.000010,0.000000
1992,0.000011,0.000000
1993,0.000011,0.000000
1994,0.000010,0.000000
1995,0.000010,0.000000
1996,0.000007,0.000000
1997,0.000009,0.000002
1998,0.000008,0.000000
1999,0.000009,0.000000
2000,0.000006,0.000000
2001,0.000007,0.000000
2002,0.000007,0.000000
2003,0.000006,0.000000
2004,0.000011,0.000000
2005,0.000007,0.000000
2006,0.000011,0.000000
2007,0.000007,0.000000
2008,0.000009,0.000000
2009,0.000010,0.000000
2010,0.000010,0.000000
2011,0.000010,0.000000
2012,0.000011,0.000000
2013,0.000014,0.000000
2014,0.000020,0.000000
2015,0.000021,0.000000
2016,0.000032,0.000000
2017,0.000036,0.000000
2018,0.000040,0.000000
2019,0.000047,0.000000
2020,0.000073,0.000000
