year,Genevie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,7
1909,0
1910,12
1911,8
1912,14
1913,16
1914,17
1915,18
1916,19
1917,33
1918,28
1919,35
1920,36
1921,36
1922,33
1923,42
1924,39
1925,33
1926,33
1927,18
1928,26
1929,15
1930,28
1931,32
1932,24
1933,20
1934,19
1935,18
1936,18
1937,16
1938,25
1939,19
1940,17
1941,16
1942,13
1943,7
1944,10
1945,9
1946,12
1947,11
1948,8
1949,8
1950,13
1951,7
1952,5
1953,8
1954,5
1955,7
1956,7
1957,6
1958,0
1959,8
1960,5
1961,6
1962,9
1963,0
1964,0
1965,0
1966,6
1967,0
1968,5
1969,8
1970,7
1971,7
1972,0
1973,12
1974,11
1975,8
1976,6
1977,8
1978,8
1979,7
1980,12
1981,7
1982,8
1983,9
1984,10
1985,15
1986,26
1987,13
1988,19
1989,13
1990,9
1991,19
1992,13
1993,17
1994,13
1995,9
1996,12
1997,10
1998,15
1999,15
2000,11
2001,25
2002,23
2003,19
2004,18
2005,19
2006,21
2007,24
2008,35
2009,31
2010,21
2011,28
2012,25
