year,Gwendolynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,7
1924,0
1925,6
1926,5
1927,0
1928,0
1929,7
1930,0
1931,0
1932,0
1933,0
1934,8
1935,0
1936,0
1937,7
1938,0
1939,5
1940,0
1941,8
1942,6
1943,6
1944,5
1945,11
1946,11
1947,11
1948,14
1949,16
1950,19
1951,23
1952,17
1953,24
1954,9
1955,20
1956,31
1957,23
1958,21
1959,15
1960,18
1961,15
1962,11
1963,13
1964,15
1965,8
1966,10
1967,11
1968,10
1969,9
1970,6
1971,16
1972,14
1973,14
1974,6
1975,19
1976,12
1977,14
1978,13
1979,17
1980,13
1981,9
1982,9
1983,14
1984,8
1985,11
1986,7
1987,7
1988,5
1989,9
1990,10
1991,12
1992,10
1993,10
1994,0
1995,7
1996,8
1997,11
1998,10
1999,8
2000,15
2001,20
2002,22
2003,15
2004,16
2005,21
2006,20
2007,27
2008,13
2009,36
2010,23
2011,28
2012,20
