year,Geraline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,0
1916,0
1917,7
1918,6
1919,6
1920,7
1921,7
1922,13
1923,9
1924,11
1925,10
1926,15
1927,15
1928,14
1929,21
1930,15
1931,11
1932,20
1933,22
1934,21
1935,24
1936,17
1937,23
1938,27
1939,19
1940,19
1941,21
1942,19
1943,18
1944,11
1945,14
1946,26
1947,23
1948,22
1949,18
1950,10
1951,13
1952,17
1953,9
1954,11
1955,7
1956,8
1957,15
1958,5
1959,10
1960,6
1961,7
1962,7
1963,6
1964,7
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
