year,Geo
1880,16
1881,9
1882,19
1883,7
1884,6
1885,7
1886,16
1887,14
1888,16
1889,19
1890,14
1891,6
1892,14
1893,13
1894,6
1895,10
1896,13
1897,9
1898,11
1899,9
1900,11
1901,10
1902,8
1903,13
1904,15
1905,13
1906,22
1907,9
1908,11
1909,14
1910,13
1911,11
1912,22
1913,22
1914,22
1915,36
1916,20
1917,25
1918,33
1919,26
1920,26
1921,17
1922,22
1923,20
1924,12
1925,19
1926,21
1927,8
1928,12
1929,9
1930,10
1931,6
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,5
2000,0
2001,6
2002,0
2003,6
2004,0
2005,0
2006,0
2007,8
2008,8
2009,13
2010,17
2011,22
2012,15
