year,Gene (F),Gene (M)
1880,0.000000,0.000035
1881,0.000000,0.000062
1882,0.000032,0.000063
1883,0.000000,0.000046
1884,0.000000,0.000045
1885,0.000021,0.000083
1886,0.000000,0.000051
1887,0.000028,0.000077
1888,0.000040,0.000040
1889,0.000031,0.000038
1890,0.000036,0.000056
1891,0.000056,0.000052
1892,0.000045,0.000069
1893,0.000037,0.000068
1894,0.000024,0.000056
1895,0.000040,0.000080
1896,0.000053,0.000081
1897,0.000032,0.000055
1898,0.000050,0.000066
1899,0.000044,0.000065
1900,0.000058,0.000107
1901,0.000067,0.000090
1902,0.000065,0.000106
1903,0.000084,0.000118
1904,0.000057,0.000144
1905,0.000057,0.000104
1906,0.000058,0.000147
1907,0.000052,0.000140
1908,0.000041,0.000160
1909,0.000076,0.000158
1910,0.000054,0.000154
1911,0.000070,0.000158
1912,0.000055,0.000189
1913,0.000067,0.000218
1914,0.000077,0.000249
1915,0.000076,0.000269
1916,0.000062,0.000267
1917,0.000087,0.000270
1918,0.000070,0.000305
1919,0.000076,0.000320
1920,0.000090,0.000358
1921,0.000078,0.000374
1922,0.000093,0.000475
1923,0.000094,0.000509
1924,0.000108,0.000535
1925,0.000160,0.000678
1926,0.000121,0.000909
1927,0.000106,0.001206
1928,0.000099,0.001367
1929,0.000073,0.001281
1930,0.000076,0.001253
1931,0.000058,0.001316
1932,0.000055,0.001395
1933,0.000044,0.001390
1934,0.000039,0.001374
1935,0.000033,0.001408
1936,0.000036,0.001398
1937,0.000035,0.001486
1938,0.000034,0.001424
1939,0.000032,0.001366
1940,0.000026,0.001329
1941,0.000032,0.001262
1942,0.000046,0.001144
1943,0.000036,0.001016
1944,0.000040,0.000967
1945,0.000040,0.000894
1946,0.000042,0.000863
1947,0.000032,0.000805
1948,0.000026,0.000737
1949,0.000027,0.000701
1950,0.000023,0.000642
1951,0.000020,0.000607
1952,0.000016,0.000546
1953,0.000016,0.000520
1954,0.000016,0.000478
1955,0.000015,0.000471
1956,0.000012,0.000424
1957,0.000009,0.000438
1958,0.000012,0.000440
1959,0.000008,0.000464
1960,0.000008,0.000430
1961,0.000005,0.000403
1962,0.000008,0.000375
1963,0.000005,0.000394
1964,0.000007,0.000394
1965,0.000006,0.000361
1966,0.000003,0.000331
1967,0.000007,0.000314
1968,0.000009,0.000317
1969,0.000003,0.000299
1970,0.000007,0.000259
1971,0.000007,0.000256
1972,0.000008,0.000237
1973,0.000005,0.000207
1974,0.000006,0.000187
1975,0.000006,0.000184
1976,0.000005,0.000152
1977,0.000004,0.000165
1978,0.000003,0.000143
1979,0.000003,0.000147
1980,0.000003,0.000131
1981,0.000005,0.000121
1982,0.000003,0.000118
1983,0.000003,0.000108
1984,0.000003,0.000107
1985,0.000002,0.000096
1986,0.000003,0.000092
1987,0.000002,0.000089
1988,0.000004,0.000082
1989,0.000002,0.000076
1990,0.000003,0.000068
1991,0.000002,0.000078
1992,0.000002,0.000066
1993,0.000003,0.000059
1994,0.000000,0.000056
1995,0.000002,0.000048
1996,0.000002,0.000047
1997,0.000001,0.000045
1998,0.000002,0.000037
1999,0.000000,0.000043
2000,0.000000,0.000032
2001,0.000001,0.000034
2002,0.000000,0.000027
2003,0.000001,0.000028
2004,0.000001,0.000028
2005,0.000002,0.000024
2006,0.000000,0.000024
2007,0.000000,0.000021
2008,0.000000,0.000020
2009,0.000000,0.000021
2010,0.000000,0.000018
2011,0.000001,0.000017
2012,0.000000,0.000020
