year,Genise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,0
1949,0
1950,0
1951,7
1952,8
1953,15
1954,27
1955,20
1956,20
1957,25
1958,24
1959,27
1960,39
1961,25
1962,29
1963,33
1964,28
1965,25
1966,22
1967,21
1968,23
1969,18
1970,24
1971,23
1972,24
1973,22
1974,18
1975,11
1976,13
1977,13
1978,14
1979,17
1980,25
1981,20
1982,16
1983,13
1984,10
1985,18
1986,10
1987,12
1988,13
1989,18
1990,15
1991,17
1992,17
1993,9
1994,7
1995,7
1996,5
1997,5
1998,0
1999,0
2000,0
2001,10
2002,11
2003,0
2004,6
2005,5
2006,13
2007,9
2008,5
2009,5
2010,0
2011,0
2012,0
