year,General
1880,32
1881,24
1882,33
1883,25
1884,25
1885,36
1886,23
1887,27
1888,31
1889,34
1890,24
1891,27
1892,33
1893,29
1894,26
1895,20
1896,35
1897,18
1898,38
1899,28
1900,33
1901,15
1902,16
1903,15
1904,23
1905,24
1906,19
1907,24
1908,27
1909,33
1910,32
1911,16
1912,39
1913,39
1914,41
1915,60
1916,63
1917,81
1918,105
1919,99
1920,91
1921,91
1922,79
1923,70
1924,57
1925,63
1926,64
1927,81
1928,58
1929,44
1930,45
1931,53
1932,50
1933,61
1934,58
1935,52
1936,51
1937,40
1938,50
1939,45
1940,53
1941,33
1942,54
1943,60
1944,45
1945,52
1946,48
1947,45
1948,45
1949,36
1950,42
1951,39
1952,27
1953,40
1954,35
1955,22
1956,22
1957,24
1958,21
1959,17
1960,21
1961,16
1962,21
1963,21
1964,18
1965,16
1966,21
1967,14
1968,14
1969,19
1970,13
1971,15
1972,15
1973,15
1974,17
1975,7
1976,8
1977,11
1978,12
1979,13
1980,8
1981,5
1982,9
1983,8
1984,11
1985,7
1986,6
1987,9
1988,9
1989,0
1990,13
1991,7
1992,8
1993,13
1994,8
1995,8
1996,5
1997,7
1998,0
1999,5
2000,9
2001,8
2002,7
2003,0
2004,10
2005,8
2006,8
2007,9
2008,10
2009,8
2010,8
2011,15
2012,9
