year,Garrett (F),Garrett (M)
1880,0.000000,0.000065
1881,0.000000,0.000036
1882,0.000000,0.000068
1883,0.000000,0.000060
1884,0.000000,0.000062
1885,0.000000,0.000037
1886,0.000000,0.000063
1887,0.000000,0.000057
1888,0.000000,0.000033
1889,0.000000,0.000055
1890,0.000000,0.000050
1891,0.000000,0.000042
1892,0.000000,0.000051
1893,0.000000,0.000046
1894,0.000000,0.000032
1895,0.000000,0.000054
1896,0.000000,0.000131
1897,0.000000,0.000101
1898,0.000000,0.000060
1899,0.000000,0.000047
1900,0.000000,0.000064
1901,0.000000,0.000032
1902,0.000000,0.000031
1903,0.000000,0.000039
1904,0.000000,0.000032
1905,0.000000,0.000028
1906,0.000000,0.000049
1907,0.000000,0.000045
1908,0.000000,0.000057
1909,0.000000,0.000020
1910,0.000000,0.000029
1911,0.000000,0.000036
1912,0.000000,0.000043
1913,0.000000,0.000028
1914,0.000000,0.000043
1915,0.000000,0.000041
1916,0.000000,0.000032
1917,0.000000,0.000033
1918,0.000000,0.000037
1919,0.000000,0.000040
1920,0.000000,0.000037
1921,0.000000,0.000034
1922,0.000000,0.000041
1923,0.000000,0.000036
1924,0.000000,0.000031
1925,0.000000,0.000031
1926,0.000000,0.000036
1927,0.000000,0.000034
1928,0.000000,0.000027
1929,0.000000,0.000035
1930,0.000000,0.000023
1931,0.000000,0.000034
1932,0.000000,0.000035
1933,0.000000,0.000029
1934,0.000000,0.000036
1935,0.000000,0.000038
1936,0.000000,0.000033
1937,0.000000,0.000035
1938,0.000000,0.000034
1939,0.000000,0.000045
1940,0.000000,0.000047
1941,0.000000,0.000040
1942,0.000000,0.000038
1943,0.000000,0.000051
1944,0.000000,0.000041
1945,0.000000,0.000045
1946,0.000000,0.000049
1947,0.000000,0.000042
1948,0.000000,0.000048
1949,0.000000,0.000048
1950,0.000000,0.000047
1951,0.000000,0.000050
1952,0.000000,0.000044
1953,0.000000,0.000043
1954,0.000000,0.000042
1955,0.000000,0.000043
1956,0.000000,0.000042
1957,0.000000,0.000047
1958,0.000000,0.000043
1959,0.000000,0.000047
1960,0.000000,0.000044
1961,0.000000,0.000053
1962,0.000000,0.000062
1963,0.000000,0.000080
1964,0.000000,0.000080
1965,0.000000,0.000079
1966,0.000000,0.000091
1967,0.000000,0.000099
1968,0.000000,0.000114
1969,0.000002,0.000140
1970,0.000001,0.000167
1971,0.000002,0.000176
1972,0.000003,0.000172
1973,0.000000,0.000162
1974,0.000000,0.000174
1975,0.000000,0.000187
1976,0.000003,0.000185
1977,0.000002,0.000227
1978,0.000003,0.000254
1979,0.000003,0.000362
1980,0.000003,0.000374
1981,0.000002,0.000433
1982,0.000002,0.000414
1983,0.000003,0.000438
1984,0.000004,0.000496
1985,0.000006,0.000576
1986,0.000006,0.000671
1987,0.000004,0.000717
1988,0.000006,0.000716
1989,0.000006,0.000863
1990,0.000004,0.000951
1991,0.000004,0.001041
1992,0.000003,0.001112
1993,0.000003,0.001250
1994,0.000006,0.001281
1995,0.000003,0.001287
1996,0.000004,0.001276
1997,0.000004,0.001254
1998,0.000002,0.001302
1999,0.000003,0.001374
2000,0.000003,0.001545
2001,0.000005,0.001352
2002,0.000000,0.001166
2003,0.000002,0.001047
2004,0.000005,0.000966
2005,0.000002,0.000849
2006,0.000002,0.000750
2007,0.000000,0.000641
2008,0.000003,0.000623
2009,0.000000,0.000539
2010,0.000001,0.000530
2011,0.000001,0.000531
2012,0.000000,0.000477
2013,0.000001,0.000443
2014,0.000002,0.000422
2015,0.000000,0.000365
2016,0.000000,0.000313
2017,0.000000,0.000296
2018,0.000000,0.000291
2019,0.000000,0.000281
2020,0.000000,0.000255
