year,Georgianna
1880,18
1881,22
1882,34
1883,28
1884,25
1885,24
1886,32
1887,27
1888,34
1889,25
1890,29
1891,21
1892,35
1893,26
1894,30
1895,27
1896,28
1897,25
1898,23
1899,30
1900,27
1901,28
1902,27
1903,37
1904,25
1905,21
1906,29
1907,32
1908,33
1909,42
1910,40
1911,34
1912,63
1913,63
1914,79
1915,83
1916,126
1917,127
1918,143
1919,138
1920,128
1921,118
1922,111
1923,125
1924,121
1925,134
1926,131
1927,140
1928,110
1929,112
1930,107
1931,109
1932,99
1933,95
1934,120
1935,120
1936,106
1937,125
1938,108
1939,145
1940,161
1941,159
1942,180
1943,171
1944,172
1945,139
1946,172
1947,149
1948,173
1949,148
1950,136
1951,131
1952,156
1953,133
1954,99
1955,93
1956,74
1957,78
1958,91
1959,72
1960,65
1961,86
1962,91
1963,72
1964,57
1965,71
1966,52
1967,73
1968,53
1969,58
1970,71
1971,56
1972,51
1973,57
1974,34
1975,29
1976,41
1977,34
1978,39
1979,35
1980,33
1981,33
1982,20
1983,21
1984,23
1985,16
1986,26
1987,25
1988,23
1989,28
1990,22
1991,11
1992,23
1993,28
1994,30
1995,37
1996,37
1997,45
1998,37
1999,26
2000,31
2001,51
2002,25
2003,34
2004,39
2005,37
2006,28
2007,35
2008,30
2009,37
2010,38
2011,32
2012,33
