year,Gardenia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,5
1920,0
1921,0
1922,0
1923,0
1924,7
1925,0
1926,0
1927,6
1928,0
1929,5
1930,7
1931,0
1932,6
1933,6
1934,13
1935,16
1936,17
1937,26
1938,17
1939,10
1940,15
1941,14
1942,12
1943,18
1944,11
1945,18
1946,15
1947,13
1948,16
1949,15
1950,12
1951,11
1952,18
1953,22
1954,23
1955,17
1956,18
1957,11
1958,10
1959,13
1960,16
1961,16
1962,9
1963,11
1964,16
1965,5
1966,11
1967,7
1968,8
1969,0
1970,5
1971,7
1972,6
1973,5
1974,10
1975,5
1976,9
1977,10
1978,9
1979,8
1980,5
1981,8
1982,9
1983,8
1984,5
1985,9
1986,9
1987,8
1988,7
1989,11
1990,22
1991,19
1992,70
1993,42
1994,41
1995,28
1996,23
1997,18
1998,21
1999,31
2000,21
2001,17
2002,19
2003,19
2004,16
2005,24
2006,14
2007,11
2008,15
2009,22
2010,18
2011,12
2012,16
