year,Gerardo (F),Gerardo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000014
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000011
1914,0.000000,0.000008
1915,0.000000,0.000008
1916,0.000000,0.000007
1917,0.000000,0.000006
1918,0.000000,0.000006
1919,0.000000,0.000009
1920,0.000000,0.000006
1921,0.000000,0.000010
1922,0.000000,0.000014
1923,0.000000,0.000009
1924,0.000000,0.000008
1925,0.000000,0.000007
1926,0.000000,0.000010
1927,0.000000,0.000014
1928,0.000000,0.000008
1929,0.000000,0.000010
1930,0.000000,0.000013
1931,0.000000,0.000011
1932,0.000000,0.000009
1933,0.000000,0.000010
1934,0.000000,0.000010
1935,0.000000,0.000010
1936,0.000000,0.000007
1937,0.000000,0.000005
1938,0.000000,0.000010
1939,0.000000,0.000007
1940,0.000000,0.000013
1941,0.000000,0.000009
1942,0.000000,0.000008
1943,0.000000,0.000006
1944,0.000000,0.000010
1945,0.000000,0.000016
1946,0.000000,0.000012
1947,0.000000,0.000011
1948,0.000000,0.000017
1949,0.000000,0.000015
1950,0.000000,0.000020
1951,0.000000,0.000026
1952,0.000000,0.000019
1953,0.000000,0.000026
1954,0.000000,0.000028
1955,0.000000,0.000038
1956,0.000000,0.000032
1957,0.000000,0.000040
1958,0.000000,0.000043
1959,0.000000,0.000048
1960,0.000000,0.000056
1961,0.000000,0.000058
1962,0.000000,0.000063
1963,0.000000,0.000072
1964,0.000000,0.000068
1965,0.000000,0.000090
1966,0.000000,0.000085
1967,0.000000,0.000097
1968,0.000000,0.000103
1969,0.000001,0.000099
1970,0.000001,0.000124
1971,0.000000,0.000134
1972,0.000003,0.000145
1973,0.000002,0.000148
1974,0.000003,0.000170
1975,0.000002,0.000244
1976,0.000003,0.000224
1977,0.000003,0.000199
1978,0.000002,0.000181
1979,0.000003,0.000210
1980,0.000002,0.000185
1981,0.000003,0.000202
1982,0.000001,0.000196
1983,0.000003,0.000207
1984,0.000000,0.000179
1985,0.000003,0.000199
1986,0.000003,0.000199
1987,0.000000,0.000190
1988,0.000002,0.000226
1989,0.000002,0.000243
1990,0.000002,0.000269
1991,0.000004,0.000304
1992,0.000002,0.000338
1993,0.000003,0.000360
1994,0.000003,0.000346
1995,0.000004,0.000362
1996,0.000004,0.000414
1997,0.000000,0.000395
1998,0.000000,0.000401
1999,0.000000,0.000425
2000,0.000003,0.000450
2001,0.000000,0.000406
2002,0.000000,0.000386
2003,0.000001,0.000368
2004,0.000000,0.000370
2005,0.000000,0.000342
2006,0.000000,0.000327
2007,0.000000,0.000334
2008,0.000000,0.000299
2009,0.000000,0.000261
2010,0.000000,0.000234
2011,0.000000,0.000229
2012,0.000000,0.000224
