year,Garrison
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,8
1914,7
1915,5
1916,5
1917,10
1918,12
1919,10
1920,10
1921,10
1922,7
1923,12
1924,7
1925,12
1926,9
1927,0
1928,11
1929,10
1930,10
1931,5
1932,11
1933,0
1934,11
1935,10
1936,13
1937,9
1938,6
1939,8
1940,6
1941,0
1942,13
1943,12
1944,19
1945,11
1946,8
1947,9
1948,17
1949,14
1950,12
1951,12
1952,26
1953,23
1954,29
1955,17
1956,17
1957,21
1958,11
1959,12
1960,9
1961,11
1962,16
1963,15
1964,19
1965,9
1966,5
1967,21
1968,26
1969,37
1970,26
1971,23
1972,26
1973,28
1974,18
1975,17
1976,23
1977,24
1978,26
1979,34
1980,33
1981,34
1982,39
1983,33
1984,51
1985,53
1986,95
1987,77
1988,113
1989,109
1990,117
1991,147
1992,140
1993,234
1994,186
1995,172
1996,199
1997,192
1998,268
1999,353
2000,268
2001,254
2002,283
2003,286
2004,253
2005,229
2006,217
2007,225
2008,187
2009,210
2010,185
2011,150
2012,199
