year,Geralyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,5
1933,0
1934,5
1935,12
1936,9
1937,12
1938,10
1939,11
1940,7
1941,7
1942,16
1943,16
1944,13
1945,20
1946,22
1947,16
1948,28
1949,33
1950,86
1951,103
1952,190
1953,218
1954,217
1955,292
1956,346
1957,318
1958,295
1959,320
1960,249
1961,286
1962,242
1963,211
1964,160
1965,115
1966,99
1967,89
1968,64
1969,53
1970,36
1971,35
1972,22
1973,22
1974,23
1975,17
1976,11
1977,22
1978,22
1979,19
1980,26
1981,26
1982,13
1983,16
1984,16
1985,21
1986,25
1987,19
1988,17
1989,18
1990,9
1991,14
1992,13
1993,13
1994,12
1995,12
1996,12
1997,10
1998,8
1999,10
2000,12
2001,7
2002,0
2003,6
2004,16
2005,10
2006,10
2007,7
2008,5
2009,6
2010,7
2011,0
2012,12
