year,Gerhardt
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,12
1913,22
1914,26
1915,33
1916,45
1917,42
1918,30
1919,34
1920,24
1921,41
1922,30
1923,27
1924,34
1925,30
1926,25
1927,25
1928,20
1929,24
1930,23
1931,16
1932,15
1933,18
1934,18
1935,11
1936,14
1937,10
1938,12
1939,10
1940,9
1941,12
1942,9
1943,14
1944,6
1945,5
1946,10
1947,8
1948,10
1949,7
1950,5
1951,8
1952,7
1953,7
1954,7
1955,9
1956,6
1957,0
1958,8
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
