year,Golda
1880,6
1881,0
1882,7
1883,13
1884,18
1885,38
1886,32
1887,25
1888,35
1889,45
1890,52
1891,49
1892,57
1893,57
1894,86
1895,65
1896,84
1897,82
1898,90
1899,81
1900,106
1901,87
1902,81
1903,85
1904,86
1905,81
1906,70
1907,87
1908,98
1909,101
1910,79
1911,85
1912,104
1913,117
1914,126
1915,158
1916,154
1917,144
1918,147
1919,127
1920,136
1921,120
1922,93
1923,93
1924,83
1925,98
1926,101
1927,93
1928,65
1929,55
1930,58
1931,54
1932,53
1933,28
1934,55
1935,63
1936,57
1937,41
1938,37
1939,47
1940,40
1941,32
1942,31
1943,17
1944,23
1945,27
1946,22
1947,22
1948,20
1949,24
1950,22
1951,12
1952,18
1953,14
1954,12
1955,17
1956,21
1957,14
1958,11
1959,18
1960,10
1961,10
1962,10
1963,10
1964,9
1965,12
1966,6
1967,6
1968,12
1969,7
1970,15
1971,8
1972,11
1973,11
1974,11
1975,11
1976,9
1977,15
1978,14
1979,16
1980,5
1981,13
1982,34
1983,21
1984,17
1985,21
1986,15
1987,18
1988,14
1989,14
1990,16
1991,9
1992,10
1993,11
1994,14
1995,15
1996,25
1997,16
1998,20
1999,20
2000,28
2001,16
2002,24
2003,24
2004,31
2005,23
2006,32
2007,26
2008,27
2009,29
2010,37
2011,35
2012,30
