year,Gretel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,0
1918,0
1919,6
1920,6
1921,0
1922,5
1923,0
1924,0
1925,0
1926,5
1927,10
1928,5
1929,0
1930,5
1931,5
1932,10
1933,5
1934,8
1935,5
1936,7
1937,9
1938,6
1939,9
1940,5
1941,10
1942,0
1943,0
1944,0
1945,0
1946,5
1947,5
1948,0
1949,0
1950,5
1951,0
1952,7
1953,7
1954,5
1955,12
1956,0
1957,10
1958,5
1959,0
1960,6
1961,10
1962,9
1963,9
1964,6
1965,9
1966,8
1967,10
1968,11
1969,10
1970,6
1971,13
1972,9
1973,11
1974,15
1975,11
1976,17
1977,5
1978,7
1979,20
1980,15
1981,13
1982,7
1983,12
1984,10
1985,12
1986,8
1987,5
1988,10
1989,7
1990,8
1991,7
1992,7
1993,6
1994,13
1995,9
1996,10
1997,12
1998,9
1999,9
2000,17
2001,22
2002,14
2003,21
2004,20
2005,20
2006,20
2007,15
2008,19
2009,25
2010,33
2011,36
2012,37
