year,Gala
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,5
1927,5
1928,0
1929,6
1930,0
1931,11
1932,0
1933,0
1934,7
1935,9
1936,5
1937,7
1938,7
1939,15
1940,10
1941,11
1942,14
1943,13
1944,12
1945,13
1946,14
1947,17
1948,18
1949,17
1950,16
1951,27
1952,15
1953,23
1954,32
1955,25
1956,35
1957,28
1958,26
1959,20
1960,27
1961,18
1962,27
1963,14
1964,32
1965,99
1966,66
1967,36
1968,51
1969,47
1970,36
1971,26
1972,29
1973,22
1974,15
1975,14
1976,14
1977,19
1978,7
1979,0
1980,0
1981,5
1982,12
1983,8
1984,0
1985,10
1986,7
1987,12
1988,5
1989,7
1990,6
1991,6
1992,5
1993,11
1994,13
1995,11
1996,10
1997,8
1998,10
1999,12
2000,8
2001,16
2002,7
2003,8
2004,16
2005,12
2006,11
2007,13
2008,13
2009,16
2010,19
2011,24
2012,64
