year,Gwendlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,7
1926,5
1927,0
1928,5
1929,0
1930,7
1931,6
1932,7
1933,0
1934,6
1935,0
1936,0
1937,0
1938,0
1939,6
1940,8
1941,6
1942,7
1943,8
1944,8
1945,7
1946,13
1947,14
1948,12
1949,18
1950,12
1951,12
1952,20
1953,17
1954,14
1955,13
1956,10
1957,14
1958,13
1959,18
1960,14
1961,11
1962,18
1963,14
1964,8
1965,16
1966,13
1967,12
1968,13
1969,9
1970,9
1971,7
1972,8
1973,5
1974,11
1975,5
1976,5
1977,0
1978,0
1979,7
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
