year,Gertha
1880,0
1881,0
1882,0
1883,7
1884,0
1885,5
1886,0
1887,5
1888,5
1889,7
1890,0
1891,5
1892,7
1893,5
1894,5
1895,15
1896,10
1897,12
1898,7
1899,12
1900,11
1901,16
1902,15
1903,14
1904,18
1905,19
1906,20
1907,15
1908,8
1909,19
1910,22
1911,25
1912,35
1913,17
1914,31
1915,53
1916,33
1917,53
1918,49
1919,41
1920,51
1921,58
1922,50
1923,40
1924,39
1925,41
1926,47
1927,42
1928,26
1929,32
1930,43
1931,30
1932,33
1933,27
1934,26
1935,33
1936,22
1937,21
1938,25
1939,29
1940,33
1941,34
1942,23
1943,24
1944,28
1945,24
1946,22
1947,20
1948,19
1949,21
1950,19
1951,18
1952,20
1953,18
1954,18
1955,19
1956,12
1957,15
1958,10
1959,10
1960,8
1961,8
1962,6
1963,7
1964,8
1965,0
1966,0
1967,7
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
