year,Granville
1880,27
1881,21
1882,25
1883,15
1884,27
1885,23
1886,19
1887,21
1888,24
1889,17
1890,16
1891,17
1892,30
1893,23
1894,20
1895,29
1896,20
1897,22
1898,21
1899,18
1900,21
1901,24
1902,17
1903,21
1904,28
1905,25
1906,26
1907,17
1908,26
1909,21
1910,24
1911,38
1912,51
1913,52
1914,88
1915,95
1916,116
1917,121
1918,148
1919,123
1920,140
1921,118
1922,125
1923,146
1924,142
1925,125
1926,106
1927,98
1928,97
1929,92
1930,95
1931,87
1932,89
1933,79
1934,86
1935,71
1936,69
1937,71
1938,65
1939,71
1940,74
1941,68
1942,66
1943,73
1944,74
1945,52
1946,81
1947,73
1948,58
1949,52
1950,57
1951,58
1952,53
1953,47
1954,53
1955,37
1956,54
1957,44
1958,49
1959,38
1960,44
1961,42
1962,29
1963,37
1964,32
1965,27
1966,28
1967,25
1968,22
1969,28
1970,23
1971,29
1972,23
1973,37
1974,16
1975,23
1976,20
1977,17
1978,17
1979,9
1980,18
1981,13
1982,24
1983,10
1984,19
1985,11
1986,12
1987,6
1988,11
1989,10
1990,8
1991,13
1992,9
1993,8
1994,6
1995,6
1996,14
1997,10
1998,0
1999,8
2000,0
2001,9
2002,8
2003,11
2004,7
2005,9
2006,0
2007,0
2008,6
2009,7
2010,0
2011,5
2012,0
