year,Garfield (F),Garfield (M)
1880,0.000000,0.000606
1881,0.000000,0.000763
1882,0.000000,0.000311
1883,0.000000,0.000226
1884,0.000000,0.000123
1885,0.000000,0.000141
1886,0.000000,0.000149
1887,0.000000,0.000105
1888,0.000000,0.000104
1889,0.000000,0.000100
1890,0.000000,0.000093
1891,0.000000,0.000080
1892,0.000000,0.000078
1893,0.000000,0.000037
1894,0.000000,0.000059
1895,0.000000,0.000043
1896,0.000000,0.000056
1897,0.000000,0.000052
1898,0.000000,0.000058
1899,0.000000,0.000056
1900,0.000000,0.000071
1901,0.000000,0.000069
1902,0.000000,0.000067
1903,0.000000,0.000050
1904,0.000000,0.000077
1905,0.000000,0.000054
1906,0.000000,0.000072
1907,0.000000,0.000080
1908,0.000000,0.000059
1909,0.000000,0.000068
1910,0.000000,0.000073
1911,0.000000,0.000059
1912,0.000000,0.000058
1913,0.000000,0.000062
1914,0.000000,0.000057
1915,0.000000,0.000055
1916,0.000000,0.000051
1917,0.000000,0.000050
1918,0.000000,0.000055
1919,0.000000,0.000053
1920,0.000000,0.000046
1921,0.000000,0.000044
1922,0.000000,0.000045
1923,0.000000,0.000043
1924,0.000000,0.000039
1925,0.000000,0.000041
1926,0.000000,0.000037
1927,0.000000,0.000042
1928,0.000000,0.000033
1929,0.000000,0.000035
1930,0.000000,0.000032
1931,0.000000,0.000033
1932,0.000000,0.000033
1933,0.000000,0.000027
1934,0.000000,0.000029
1935,0.000000,0.000026
1936,0.000000,0.000023
1937,0.000000,0.000025
1938,0.000000,0.000028
1939,0.000000,0.000030
1940,0.000000,0.000035
1941,0.000000,0.000028
1942,0.000000,0.000023
1943,0.000000,0.000015
1944,0.000000,0.000025
1945,0.000000,0.000022
1946,0.000000,0.000019
1947,0.000000,0.000013
1948,0.000000,0.000018
1949,0.000000,0.000019
1950,0.000000,0.000020
1951,0.000000,0.000012
1952,0.000000,0.000018
1953,0.000000,0.000018
1954,0.000000,0.000013
1955,0.000000,0.000010
1956,0.000000,0.000012
1957,0.000000,0.000011
1958,0.000000,0.000009
1959,0.000000,0.000007
1960,0.000000,0.000007
1961,0.000000,0.000011
1962,0.000000,0.000006
1963,0.000000,0.000012
1964,0.000000,0.000009
1965,0.000000,0.000008
1966,0.000000,0.000007
1967,0.000000,0.000010
1968,0.000000,0.000008
1969,0.000000,0.000010
1970,0.000000,0.000008
1971,0.000000,0.000006
1972,0.000000,0.000008
1973,0.000000,0.000006
1974,0.000000,0.000010
1975,0.000000,0.000008
1976,0.000000,0.000005
1977,0.000000,0.000006
1978,0.000000,0.000008
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000000,0.000007
1982,0.000000,0.000004
1983,0.000000,0.000005
1984,0.000000,0.000005
1985,0.000000,0.000003
1986,0.000000,0.000003
1987,0.000000,0.000006
1988,0.000000,0.000003
1989,0.000000,0.000005
1990,0.000000,0.000007
1991,0.000000,0.000004
1992,0.000000,0.000005
1993,0.000000,0.000003
1994,0.000000,0.000007
1995,0.000000,0.000003
1996,0.000000,0.000003
1997,0.000000,0.000004
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000001
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000002
