year,Georganne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,5
1919,0
1920,0
1921,6
1922,0
1923,0
1924,9
1925,0
1926,8
1927,5
1928,7
1929,8
1930,6
1931,0
1932,10
1933,9
1934,8
1935,10
1936,8
1937,12
1938,10
1939,17
1940,29
1941,21
1942,30
1943,37
1944,35
1945,38
1946,37
1947,51
1948,52
1949,55
1950,38
1951,53
1952,57
1953,46
1954,36
1955,41
1956,45
1957,30
1958,42
1959,30
1960,30
1961,34
1962,17
1963,21
1964,24
1965,13
1966,16
1967,21
1968,16
1969,16
1970,9
1971,13
1972,14
1973,0
1974,8
1975,12
1976,9
1977,8
1978,0
1979,0
1980,6
1981,0
1982,9
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
