year,Genevia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,5
1903,5
1904,0
1905,0
1906,0
1907,6
1908,7
1909,10
1910,9
1911,9
1912,12
1913,20
1914,17
1915,22
1916,24
1917,20
1918,33
1919,32
1920,29
1921,33
1922,26
1923,35
1924,38
1925,35
1926,34
1927,37
1928,27
1929,27
1930,36
1931,30
1932,14
1933,32
1934,16
1935,23
1936,29
1937,27
1938,19
1939,26
1940,20
1941,22
1942,15
1943,18
1944,24
1945,9
1946,18
1947,24
1948,22
1949,17
1950,21
1951,17
1952,10
1953,21
1954,14
1955,26
1956,31
1957,16
1958,17
1959,13
1960,11
1961,11
1962,12
1963,10
1964,11
1965,9
1966,8
1967,5
1968,7
1969,8
1970,12
1971,7
1972,0
1973,5
1974,6
1975,7
1976,0
1977,0
1978,0
1979,0
1980,6
1981,7
1982,6
1983,5
1984,0
1985,6
1986,0
1987,0
1988,8
1989,0
1990,8
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,6
1999,0
2000,5
2001,0
2002,0
2003,0
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
