year,Genetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,6
1916,6
1917,0
1918,10
1919,7
1920,11
1921,5
1922,8
1923,7
1924,14
1925,8
1926,11
1927,9
1928,12
1929,7
1930,5
1931,10
1932,6
1933,0
1934,7
1935,13
1936,11
1937,10
1938,11
1939,8
1940,14
1941,7
1942,7
1943,7
1944,5
1945,12
1946,7
1947,12
1948,10
1949,12
1950,10
1951,10
1952,13
1953,10
1954,12
1955,7
1956,14
1957,9
1958,17
1959,0
1960,15
1961,9
1962,5
1963,10
1964,12
1965,10
1966,9
1967,5
1968,0
1969,11
1970,6
1971,7
1972,0
1973,5
1974,7
1975,7
1976,9
1977,6
1978,0
1979,0
1980,8
1981,9
1982,5
1983,0
1984,5
1985,0
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
