year,Glorianna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,5
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,9
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,5
1939,7
1940,0
1941,5
1942,0
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,7
1960,0
1961,0
1962,0
1963,6
1964,7
1965,0
1966,6
1967,0
1968,5
1969,0
1970,5
1971,6
1972,0
1973,5
1974,0
1975,7
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,6
1990,9
1991,6
1992,9
1993,9
1994,9
1995,0
1996,10
1997,7
1998,12
1999,9
2000,13
2001,7
2002,13
2003,10
2004,17
2005,7
2006,14
2007,15
2008,8
2009,9
2010,15
2011,14
2012,22
