year,Gabrielle (F),Gabrielle (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000017,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000018,0.000000
1895,0.000014,0.000000
1896,0.000014,0.000000
1897,0.000000,0.000000
1898,0.000021,0.000000
1899,0.000000,0.000000
1900,0.000018,0.000000
1901,0.000023,0.000000
1902,0.000013,0.000000
1903,0.000013,0.000000
1904,0.000017,0.000000
1905,0.000000,0.000000
1906,0.000019,0.000000
1907,0.000019,0.000000
1908,0.000014,0.000000
1909,0.000025,0.000000
1910,0.000019,0.000000
1911,0.000025,0.000000
1912,0.000020,0.000000
1913,0.000020,0.000000
1914,0.000018,0.000000
1915,0.000018,0.000000
1916,0.000022,0.000000
1917,0.000019,0.000000
1918,0.000019,0.000000
1919,0.000015,0.000000
1920,0.000015,0.000000
1921,0.000012,0.000000
1922,0.000017,0.000000
1923,0.000018,0.000000
1924,0.000019,0.000000
1925,0.000018,0.000000
1926,0.000012,0.000000
1927,0.000011,0.000000
1928,0.000014,0.000000
1929,0.000013,0.000000
1930,0.000011,0.000000
1931,0.000010,0.000000
1932,0.000010,0.000000
1933,0.000009,0.000000
1934,0.000010,0.000000
1935,0.000008,0.000000
1936,0.000008,0.000000
1937,0.000011,0.000000
1938,0.000013,0.000000
1939,0.000015,0.000000
1940,0.000010,0.000000
1941,0.000019,0.000000
1942,0.000015,0.000000
1943,0.000017,0.000000
1944,0.000009,0.000000
1945,0.000011,0.000000
1946,0.000008,0.000000
1947,0.000012,0.000000
1948,0.000011,0.000000
1949,0.000007,0.000000
1950,0.000008,0.000000
1951,0.000010,0.000000
1952,0.000011,0.000000
1953,0.000013,0.000000
1954,0.000014,0.000000
1955,0.000023,0.000000
1956,0.000022,0.000000
1957,0.000032,0.000000
1958,0.000028,0.000000
1959,0.000034,0.000000
1960,0.000046,0.000000
1961,0.000045,0.000000
1962,0.000055,0.000000
1963,0.000055,0.000000
1964,0.000059,0.000000
1965,0.000061,0.000000
1966,0.000056,0.000000
1967,0.000063,0.000000
1968,0.000077,0.000000
1969,0.000089,0.000000
1970,0.000109,0.000000
1971,0.000129,0.000000
1972,0.000113,0.000000
1973,0.000111,0.000002
1974,0.000109,0.000002
1975,0.000123,0.000000
1976,0.000121,0.000000
1977,0.000089,0.000000
1978,0.000132,0.000002
1979,0.000143,0.000002
1980,0.000165,0.000001
1981,0.000170,0.000002
1982,0.000183,0.000002
1983,0.000181,0.000003
1984,0.000232,0.000003
1985,0.000251,0.000004
1986,0.000271,0.000003
1987,0.000445,0.000003
1988,0.000568,0.000003
1989,0.000707,0.000006
1990,0.000896,0.000007
1991,0.000919,0.000007
1992,0.001049,0.000004
1993,0.001065,0.000005
1994,0.001357,0.000008
1995,0.001487,0.000008
1996,0.001614,0.000004
1997,0.001639,0.000006
1998,0.001686,0.000005
1999,0.001660,0.000007
2000,0.001553,0.000007
2001,0.001498,0.000007
2002,0.001249,0.000008
2003,0.001210,0.000005
2004,0.001157,0.000010
2005,0.001305,0.000007
2006,0.001225,0.000007
2007,0.001137,0.000006
2008,0.001025,0.000008
2009,0.000896,0.000006
2010,0.000851,0.000004
2011,0.000718,0.000005
2012,0.000663,0.000005
2013,0.000608,0.000003
2014,0.000519,0.000002
2015,0.000433,0.000004
2016,0.000388,0.000003
2017,0.000341,0.000002
2018,0.000310,0.000002
2019,0.000265,0.000003
2020,0.000259,0.000003
