year,Gamaliel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,6
1955,0
1956,5
1957,5
1958,9
1959,6
1960,7
1961,7
1962,5
1963,0
1964,8
1965,9
1966,0
1967,0
1968,5
1969,12
1970,10
1971,14
1972,20
1973,13
1974,11
1975,16
1976,25
1977,24
1978,24
1979,31
1980,21
1981,21
1982,23
1983,24
1984,29
1985,20
1986,26
1987,22
1988,23
1989,30
1990,38
1991,30
1992,33
1993,30
1994,26
1995,29
1996,25
1997,41
1998,34
1999,44
2000,45
2001,51
2002,45
2003,48
2004,56
2005,53
2006,51
2007,43
2008,47
2009,46
2010,45
2011,33
2012,35
