year,Gayland
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,7
1919,0
1920,13
1921,5
1922,5
1923,0
1924,8
1925,5
1926,0
1927,8
1928,7
1929,0
1930,11
1931,14
1932,9
1933,17
1934,10
1935,14
1936,18
1937,12
1938,23
1939,17
1940,20
1941,16
1942,26
1943,23
1944,21
1945,19
1946,19
1947,31
1948,30
1949,34
1950,47
1951,36
1952,22
1953,33
1954,31
1955,25
1956,31
1957,28
1958,25
1959,18
1960,11
1961,17
1962,18
1963,16
1964,10
1965,21
1966,16
1967,14
1968,14
1969,12
1970,17
1971,10
1972,9
1973,14
1974,7
1975,6
1976,8
1977,9
1978,0
1979,6
1980,0
1981,5
1982,10
1983,5
1984,0
1985,5
1986,8
1987,8
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
