year,Gabino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,0
1920,0
1921,8
1922,9
1923,12
1924,13
1925,7
1926,9
1927,13
1928,6
1929,12
1930,9
1931,9
1932,10
1933,0
1934,7
1935,12
1936,6
1937,5
1938,7
1939,7
1940,9
1941,0
1942,9
1943,8
1944,6
1945,8
1946,9
1947,13
1948,15
1949,13
1950,9
1951,8
1952,14
1953,20
1954,17
1955,11
1956,9
1957,5
1958,12
1959,5
1960,11
1961,10
1962,7
1963,16
1964,10
1965,13
1966,13
1967,22
1968,23
1969,18
1970,23
1971,25
1972,15
1973,19
1974,22
1975,24
1976,32
1977,31
1978,19
1979,33
1980,24
1981,25
1982,26
1983,24
1984,23
1985,34
1986,27
1987,36
1988,34
1989,37
1990,41
1991,40
1992,43
1993,67
1994,52
1995,48
1996,51
1997,57
1998,49
1999,67
2000,49
2001,49
2002,54
2003,47
2004,52
2005,44
2006,49
2007,42
2008,39
2009,36
2010,48
2011,37
2012,35
