year,Glenwood
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,0
1906,5
1907,0
1908,5
1909,6
1910,7
1911,6
1912,18
1913,19
1914,36
1915,47
1916,39
1917,45
1918,47
1919,38
1920,66
1921,64
1922,50
1923,45
1924,39
1925,33
1926,40
1927,39
1928,45
1929,37
1930,46
1931,49
1932,48
1933,38
1934,39
1935,39
1936,40
1937,35
1938,30
1939,24
1940,38
1941,40
1942,39
1943,41
1944,20
1945,27
1946,29
1947,45
1948,29
1949,46
1950,41
1951,42
1952,26
1953,36
1954,36
1955,29
1956,23
1957,42
1958,34
1959,14
1960,22
1961,26
1962,24
1963,22
1964,15
1965,25
1966,12
1967,26
1968,12
1969,9
1970,14
1971,14
1972,17
1973,10
1974,15
1975,0
1976,14
1977,0
1978,12
1979,14
1980,8
1981,7
1982,6
1983,12
1984,12
1985,6
1986,8
1987,9
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,5
1997,7
1998,5
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
