year,Gaila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,5
1924,0
1925,5
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,8
1937,0
1938,0
1939,0
1940,8
1941,7
1942,7
1943,16
1944,11
1945,13
1946,16
1947,24
1948,21
1949,13
1950,17
1951,12
1952,23
1953,23
1954,31
1955,22
1956,14
1957,18
1958,27
1959,22
1960,16
1961,16
1962,15
1963,13
1964,19
1965,17
1966,20
1967,11
1968,9
1969,10
1970,8
1971,12
1972,7
1973,0
1974,5
1975,7
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
