year,Gaynelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,8
1897,0
1898,0
1899,5
1900,6
1901,0
1902,7
1903,0
1904,5
1905,5
1906,0
1907,11
1908,0
1909,0
1910,7
1911,9
1912,13
1913,10
1914,20
1915,14
1916,29
1917,30
1918,34
1919,32
1920,30
1921,35
1922,26
1923,23
1924,31
1925,26
1926,22
1927,26
1928,24
1929,29
1930,26
1931,32
1932,29
1933,26
1934,30
1935,17
1936,29
1937,47
1938,37
1939,26
1940,33
1941,26
1942,37
1943,34
1944,32
1945,26
1946,21
1947,41
1948,38
1949,39
1950,22
1951,28
1952,34
1953,18
1954,29
1955,27
1956,26
1957,17
1958,18
1959,20
1960,31
1961,18
1962,14
1963,7
1964,13
1965,15
1966,5
1967,8
1968,12
1969,11
1970,11
1971,9
1972,7
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
