year,Gilberto (F),Gilberto (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000016
1909,0.000000,0.000012
1910,0.000000,0.000015
1911,0.000000,0.000014
1912,0.000000,0.000023
1913,0.000000,0.000020
1914,0.000000,0.000027
1915,0.000000,0.000022
1916,0.000000,0.000018
1917,0.000000,0.000017
1918,0.000000,0.000019
1919,0.000000,0.000034
1920,0.000000,0.000035
1921,0.000000,0.000032
1922,0.000000,0.000035
1923,0.000000,0.000046
1924,0.000000,0.000038
1925,0.000000,0.000043
1926,0.000000,0.000050
1927,0.000000,0.000046
1928,0.000000,0.000079
1929,0.000000,0.000063
1930,0.000000,0.000062
1931,0.000000,0.000070
1932,0.000000,0.000066
1933,0.000000,0.000053
1934,0.000000,0.000057
1935,0.000000,0.000054
1936,0.000000,0.000057
1937,0.000000,0.000058
1938,0.000003,0.000049
1939,0.000000,0.000048
1940,0.000000,0.000047
1941,0.000000,0.000040
1942,0.000000,0.000048
1943,0.000000,0.000050
1944,0.000000,0.000038
1945,0.000000,0.000064
1946,0.000000,0.000044
1947,0.000000,0.000049
1948,0.000000,0.000045
1949,0.000000,0.000051
1950,0.000000,0.000041
1951,0.000000,0.000047
1952,0.000000,0.000047
1953,0.000000,0.000051
1954,0.000000,0.000044
1955,0.000000,0.000042
1956,0.000000,0.000049
1957,0.000000,0.000052
1958,0.000000,0.000052
1959,0.000000,0.000052
1960,0.000000,0.000061
1961,0.000000,0.000062
1962,0.000000,0.000075
1963,0.000001,0.000071
1964,0.000000,0.000073
1965,0.000000,0.000077
1966,0.000000,0.000084
1967,0.000000,0.000086
1968,0.000000,0.000086
1969,0.000001,0.000101
1970,0.000001,0.000095
1971,0.000000,0.000106
1972,0.000000,0.000109
1973,0.000000,0.000125
1974,0.000000,0.000132
1975,0.000000,0.000113
1976,0.000002,0.000119
1977,0.000002,0.000118
1978,0.000000,0.000112
1979,0.000000,0.000109
1980,0.000000,0.000120
1981,0.000000,0.000129
1982,0.000000,0.000108
1983,0.000000,0.000113
1984,0.000000,0.000106
1985,0.000001,0.000102
1986,0.000000,0.000103
1987,0.000000,0.000098
1988,0.000000,0.000122
1989,0.000003,0.000129
1990,0.000000,0.000130
1991,0.000001,0.000136
1992,0.000000,0.000138
1993,0.000000,0.000148
1994,0.000000,0.000146
1995,0.000000,0.000135
1996,0.000001,0.000129
1997,0.000000,0.000125
1998,0.000000,0.000135
1999,0.000000,0.000131
2000,0.000000,0.000129
2001,0.000000,0.000128
2002,0.000000,0.000116
2003,0.000000,0.000129
2004,0.000000,0.000115
2005,0.000000,0.000119
2006,0.000000,0.000115
2007,0.000000,0.000106
2008,0.000000,0.000092
2009,0.000000,0.000086
2010,0.000000,0.000076
2011,0.000000,0.000068
2012,0.000000,0.000062
