year,Georgie (F),Georgie (M)
1880,0.000213,0.000000
1881,0.000166,0.000000
1882,0.000212,0.000000
1883,0.000157,0.000000
1884,0.000185,0.000000
1885,0.000158,0.000000
1886,0.000176,0.000000
1887,0.000206,0.000000
1888,0.000184,0.000000
1889,0.000221,0.000000
1890,0.000272,0.000000
1891,0.000188,0.000000
1892,0.000185,0.000000
1893,0.000166,0.000000
1894,0.000233,0.000000
1895,0.000191,0.000000
1896,0.000151,0.000000
1897,0.000216,0.000000
1898,0.000202,0.000000
1899,0.000177,0.000000
1900,0.000191,0.000000
1901,0.000197,0.000000
1902,0.000225,0.000018
1903,0.000144,0.000013
1904,0.000211,0.000000
1905,0.000186,0.000012
1906,0.000196,0.000000
1907,0.000204,0.000013
1908,0.000178,0.000014
1909,0.000205,0.000012
1910,0.000179,0.000014
1911,0.000168,0.000000
1912,0.000143,0.000007
1913,0.000129,0.000005
1914,0.000134,0.000012
1915,0.000108,0.000012
1916,0.000119,0.000012
1917,0.000122,0.000008
1918,0.000127,0.000008
1919,0.000134,0.000008
1920,0.000126,0.000012
1921,0.000110,0.000010
1922,0.000114,0.000014
1923,0.000113,0.000014
1924,0.000123,0.000013
1925,0.000126,0.000009
1926,0.000118,0.000012
1927,0.000106,0.000014
1928,0.000118,0.000015
1929,0.000119,0.000016
1930,0.000112,0.000013
1931,0.000113,0.000010
1932,0.000109,0.000010
1933,0.000101,0.000016
1934,0.000109,0.000015
1935,0.000088,0.000011
1936,0.000079,0.000013
1937,0.000094,0.000009
1938,0.000068,0.000013
1939,0.000077,0.000011
1940,0.000070,0.000008
1941,0.000059,0.000013
1942,0.000055,0.000008
1943,0.000057,0.000009
1944,0.000048,0.000007
1945,0.000042,0.000005
1946,0.000033,0.000004
1947,0.000032,0.000004
1948,0.000032,0.000004
1949,0.000028,0.000004
1950,0.000023,0.000005
1951,0.000023,0.000003
1952,0.000026,0.000004
1953,0.000017,0.000002
1954,0.000020,0.000003
1955,0.000017,0.000002
1956,0.000016,0.000002
1957,0.000015,0.000002
1958,0.000014,0.000002
1959,0.000013,0.000002
1960,0.000012,0.000004
1961,0.000008,0.000003
1962,0.000009,0.000000
1963,0.000010,0.000005
1964,0.000010,0.000004
1965,0.000008,0.000004
1966,0.000006,0.000003
1967,0.000011,0.000005
1968,0.000010,0.000005
1969,0.000007,0.000006
1970,0.000008,0.000004
1971,0.000008,0.000003
1972,0.000010,0.000006
1973,0.000008,0.000006
1974,0.000008,0.000006
1975,0.000009,0.000003
1976,0.000005,0.000004
1977,0.000005,0.000002
1978,0.000003,0.000005
1979,0.000004,0.000003
1980,0.000003,0.000003
1981,0.000002,0.000002
1982,0.000004,0.000005
1983,0.000005,0.000002
1984,0.000002,0.000003
1985,0.000003,0.000003
1986,0.000003,0.000000
1987,0.000002,0.000002
1988,0.000002,0.000002
1989,0.000001,0.000002
1990,0.000003,0.000002
1991,0.000002,0.000002
1992,0.000002,0.000000
1993,0.000007,0.000003
1994,0.000008,0.000001
1995,0.000011,0.000000
1996,0.000010,0.000000
1997,0.000009,0.000002
1998,0.000008,0.000002
1999,0.000007,0.000001
2000,0.000006,0.000002
2001,0.000005,0.000001
2002,0.000006,0.000002
2003,0.000003,0.000002
2004,0.000009,0.000002
2005,0.000006,0.000003
2006,0.000006,0.000002
2007,0.000006,0.000002
2008,0.000007,0.000002
2009,0.000008,0.000000
2010,0.000004,0.000000
2011,0.000008,0.000002
2012,0.000007,0.000000
2013,0.000007,0.000002
2014,0.000009,0.000001
2015,0.000007,0.000003
2016,0.000011,0.000001
2017,0.000013,0.000000
2018,0.000017,0.000002
2019,0.000020,0.000007
2020,0.000025,0.000004
