year,Gerline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,5
1918,9
1919,0
1920,17
1921,6
1922,7
1923,14
1924,9
1925,14
1926,6
1927,12
1928,17
1929,9
1930,13
1931,11
1932,9
1933,9
1934,11
1935,10
1936,16
1937,11
1938,16
1939,15
1940,17
1941,18
1942,7
1943,12
1944,14
1945,12
1946,14
1947,11
1948,11
1949,9
1950,5
1951,11
1952,10
1953,12
1954,7
1955,13
1956,5
1957,7
1958,5
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
