year,Grant (F),Grant (M)
1880,0.000000,0.000258
1881,0.000000,0.000171
1882,0.000000,0.000185
1883,0.000000,0.000147
1884,0.000000,0.000168
1885,0.000000,0.000245
1886,0.000000,0.000270
1887,0.000000,0.000194
1888,0.000000,0.000150
1889,0.000000,0.000135
1890,0.000000,0.000216
1891,0.000000,0.000195
1892,0.000000,0.000191
1893,0.000000,0.000169
1894,0.000000,0.000183
1895,0.000000,0.000219
1896,0.000000,0.000199
1897,0.000000,0.000208
1898,0.000000,0.000136
1899,0.000000,0.000118
1900,0.000000,0.000182
1901,0.000000,0.000130
1902,0.000000,0.000140
1903,0.000000,0.000160
1904,0.000000,0.000144
1905,0.000000,0.000149
1906,0.000000,0.000149
1907,0.000000,0.000161
1908,0.000000,0.000162
1909,0.000000,0.000115
1910,0.000000,0.000163
1911,0.000000,0.000104
1912,0.000000,0.000171
1913,0.000000,0.000164
1914,0.000000,0.000179
1915,0.000000,0.000195
1916,0.000000,0.000181
1917,0.000000,0.000198
1918,0.000000,0.000200
1919,0.000000,0.000192
1920,0.000000,0.000173
1921,0.000000,0.000176
1922,0.000000,0.000182
1923,0.000000,0.000166
1924,0.000000,0.000154
1925,0.000000,0.000160
1926,0.000002,0.000145
1927,0.000000,0.000149
1928,0.000000,0.000137
1929,0.000000,0.000135
1930,0.000000,0.000137
1931,0.000000,0.000124
1932,0.000000,0.000128
1933,0.000000,0.000127
1934,0.000000,0.000131
1935,0.000000,0.000138
1936,0.000000,0.000121
1937,0.000000,0.000129
1938,0.000000,0.000129
1939,0.000000,0.000132
1940,0.000000,0.000138
1941,0.000000,0.000153
1942,0.000000,0.000148
1943,0.000000,0.000148
1944,0.000000,0.000145
1945,0.000000,0.000129
1946,0.000000,0.000121
1947,0.000000,0.000125
1948,0.000000,0.000121
1949,0.000000,0.000134
1950,0.000000,0.000134
1951,0.000000,0.000137
1952,0.000000,0.000144
1953,0.000000,0.000143
1954,0.000000,0.000157
1955,0.000000,0.000151
1956,0.000000,0.000149
1957,0.000000,0.000153
1958,0.000000,0.000142
1959,0.000000,0.000142
1960,0.000000,0.000173
1961,0.000000,0.000196
1962,0.000000,0.000192
1963,0.000000,0.000198
1964,0.000000,0.000172
1965,0.000000,0.000171
1966,0.000000,0.000180
1967,0.000000,0.000170
1968,0.000000,0.000170
1969,0.000000,0.000189
1970,0.000001,0.000218
1971,0.000002,0.000193
1972,0.000000,0.000183
1973,0.000002,0.000191
1974,0.000000,0.000203
1975,0.000002,0.000238
1976,0.000000,0.000236
1977,0.000002,0.000228
1978,0.000002,0.000258
1979,0.000002,0.000304
1980,0.000003,0.000321
1981,0.000002,0.000317
1982,0.000002,0.000334
1983,0.000003,0.000448
1984,0.000003,0.000454
1985,0.000003,0.000463
1986,0.000004,0.000418
1987,0.000002,0.000433
1988,0.000003,0.000439
1989,0.000000,0.000437
1990,0.000001,0.000428
1991,0.000002,0.000445
1992,0.000002,0.000498
1993,0.000000,0.000573
1994,0.000000,0.000613
1995,0.000001,0.000876
1996,0.000000,0.000879
1997,0.000000,0.000915
1998,0.000001,0.000820
1999,0.000000,0.000796
2000,0.000000,0.000840
2001,0.000001,0.000781
2002,0.000000,0.000823
2003,0.000000,0.000768
2004,0.000003,0.000738
2005,0.000002,0.000692
2006,0.000002,0.000680
2007,0.000000,0.000643
2008,0.000000,0.000729
2009,0.000002,0.000715
2010,0.000000,0.000689
2011,0.000000,0.000697
2012,0.000000,0.000677
2013,0.000000,0.000665
