year,Garland (F),Garland (M)
1880,0.000000,0.000055
1881,0.000000,0.000036
1882,0.000000,0.000077
1883,0.000000,0.000051
1884,0.000000,0.000049
1885,0.000000,0.000050
1886,0.000000,0.000074
1887,0.000000,0.000069
1888,0.000000,0.000060
1889,0.000000,0.000031
1890,0.000000,0.000056
1891,0.000000,0.000063
1892,0.000000,0.000054
1893,0.000000,0.000077
1894,0.000000,0.000086
1895,0.000000,0.000085
1896,0.000000,0.000064
1897,0.000017,0.000078
1898,0.000018,0.000089
1899,0.000000,0.000130
1900,0.000000,0.000080
1901,0.000014,0.000087
1902,0.000013,0.000101
1903,0.000000,0.000071
1904,0.000000,0.000102
1905,0.000000,0.000142
1906,0.000000,0.000105
1907,0.000000,0.000120
1908,0.000000,0.000104
1909,0.000012,0.000111
1910,0.000015,0.000125
1911,0.000012,0.000135
1912,0.000008,0.000147
1913,0.000014,0.000170
1914,0.000004,0.000178
1915,0.000012,0.000187
1916,0.000007,0.000189
1917,0.000008,0.000197
1918,0.000008,0.000185
1919,0.000011,0.000180
1920,0.000007,0.000178
1921,0.000005,0.000195
1922,0.000009,0.000209
1923,0.000009,0.000188
1924,0.000005,0.000174
1925,0.000011,0.000174
1926,0.000004,0.000179
1927,0.000004,0.000161
1928,0.000008,0.000171
1929,0.000003,0.000176
1930,0.000004,0.000176
1931,0.000003,0.000172
1932,0.000003,0.000181
1933,0.000004,0.000188
1934,0.000006,0.000182
1935,0.000005,0.000173
1936,0.000003,0.000165
1937,0.000004,0.000175
1938,0.000004,0.000169
1939,0.000005,0.000161
1940,0.000004,0.000159
1941,0.000005,0.000156
1942,0.000003,0.000138
1943,0.000004,0.000158
1944,0.000006,0.000140
1945,0.000004,0.000119
1946,0.000003,0.000121
1947,0.000003,0.000102
1948,0.000004,0.000113
1949,0.000004,0.000115
1950,0.000002,0.000105
1951,0.000003,0.000107
1952,0.000004,0.000090
1953,0.000003,0.000087
1954,0.000002,0.000089
1955,0.000003,0.000081
1956,0.000000,0.000071
1957,0.000001,0.000064
1958,0.000001,0.000073
1959,0.000001,0.000057
1960,0.000002,0.000062
1961,0.000003,0.000072
1962,0.000003,0.000063
1963,0.000002,0.000061
1964,0.000003,0.000059
1965,0.000001,0.000059
1966,0.000000,0.000055
1967,0.000001,0.000049
1968,0.000000,0.000056
1969,0.000002,0.000050
1970,0.000001,0.000046
1971,0.000003,0.000048
1972,0.000002,0.000054
1973,0.000003,0.000051
1974,0.000000,0.000044
1975,0.000000,0.000047
1976,0.000002,0.000034
1977,0.000000,0.000037
1978,0.000002,0.000031
1979,0.000000,0.000031
1980,0.000001,0.000030
1981,0.000002,0.000032
1982,0.000003,0.000028
1983,0.000000,0.000025
1984,0.000000,0.000025
1985,0.000002,0.000018
1986,0.000000,0.000015
1987,0.000000,0.000020
1988,0.000002,0.000024
1989,0.000000,0.000020
1990,0.000003,0.000019
1991,0.000001,0.000016
1992,0.000000,0.000018
1993,0.000001,0.000015
1994,0.000000,0.000019
1995,0.000002,0.000014
1996,0.000000,0.000012
1997,0.000000,0.000013
1998,0.000002,0.000008
1999,0.000000,0.000010
2000,0.000003,0.000011
2001,0.000000,0.000011
2002,0.000000,0.000006
2003,0.000000,0.000007
2004,0.000000,0.000006
2005,0.000003,0.000007
2006,0.000002,0.000006
2007,0.000000,0.000006
2008,0.000001,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000004
2011,0.000002,0.000006
2012,0.000001,0.000006
2013,0.000000,0.000005
