year,Genelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,6
1915,10
1916,14
1917,10
1918,14
1919,23
1920,15
1921,20
1922,22
1923,29
1924,16
1925,15
1926,17
1927,20
1928,17
1929,17
1930,13
1931,20
1932,15
1933,19
1934,15
1935,19
1936,14
1937,15
1938,20
1939,17
1940,14
1941,19
1942,14
1943,8
1944,17
1945,17
1946,19
1947,20
1948,11
1949,17
1950,17
1951,21
1952,10
1953,15
1954,21
1955,14
1956,12
1957,15
1958,15
1959,21
1960,11
1961,25
1962,19
1963,17
1964,21
1965,30
1966,17
1967,13
1968,20
1969,19
1970,20
1971,18
1972,25
1973,19
1974,9
1975,20
1976,21
1977,14
1978,30
1979,29
1980,24
1981,36
1982,24
1983,25
1984,21
1985,17
1986,20
1987,21
1988,18
1989,14
1990,17
1991,24
1992,16
1993,19
1994,12
1995,17
1996,15
1997,16
1998,7
1999,7
2000,8
2001,9
2002,13
2003,11
2004,10
2005,12
2006,9
2007,12
2008,11
2009,10
2010,5
2011,11
2012,13
