year,Graydon (F),Graydon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000026
1906,0.000000,0.000012
1907,0.000000,0.000017
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000015
1911,0.000000,0.000012
1912,0.000000,0.000015
1913,0.000000,0.000017
1914,0.000000,0.000017
1915,0.000000,0.000015
1916,0.000000,0.000018
1917,0.000000,0.000017
1918,0.000000,0.000011
1919,0.000000,0.000015
1920,0.000000,0.000016
1921,0.000000,0.000016
1922,0.000000,0.000013
1923,0.000000,0.000020
1924,0.000000,0.000014
1925,0.000000,0.000012
1926,0.000000,0.000018
1927,0.000000,0.000019
1928,0.000000,0.000019
1929,0.000000,0.000012
1930,0.000000,0.000016
1931,0.000000,0.000015
1932,0.000000,0.000013
1933,0.000000,0.000016
1934,0.000000,0.000015
1935,0.000000,0.000009
1936,0.000000,0.000013
1937,0.000000,0.000011
1938,0.000000,0.000011
1939,0.000000,0.000011
1940,0.000000,0.000008
1941,0.000000,0.000008
1942,0.000000,0.000011
1943,0.000000,0.000012
1944,0.000000,0.000008
1945,0.000000,0.000005
1946,0.000000,0.000008
1947,0.000000,0.000007
1948,0.000000,0.000006
1949,0.000000,0.000005
1950,0.000000,0.000008
1951,0.000000,0.000006
1952,0.000000,0.000004
1953,0.000000,0.000007
1954,0.000000,0.000004
1955,0.000000,0.000006
1956,0.000000,0.000004
1957,0.000000,0.000004
1958,0.000000,0.000005
1959,0.000000,0.000004
1960,0.000000,0.000004
1961,0.000000,0.000005
1962,0.000000,0.000004
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000003
1966,0.000000,0.000005
1967,0.000000,0.000003
1968,0.000000,0.000006
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000003
1975,0.000000,0.000003
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000004
1979,0.000000,0.000004
1980,0.000000,0.000004
1981,0.000000,0.000003
1982,0.000000,0.000003
1983,0.000000,0.000003
1984,0.000000,0.000004
1985,0.000000,0.000003
1986,0.000000,0.000006
1987,0.000000,0.000006
1988,0.000000,0.000005
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000007
1993,0.000000,0.000005
1994,0.000000,0.000009
1995,0.000000,0.000007
1996,0.000000,0.000010
1997,0.000000,0.000010
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000009
2001,0.000000,0.000011
2002,0.000000,0.000009
2003,0.000000,0.000016
2004,0.000000,0.000014
2005,0.000000,0.000016
2006,0.000000,0.000019
2007,0.000000,0.000020
2008,0.000000,0.000024
2009,0.000000,0.000020
2010,0.000000,0.000027
2011,0.000000,0.000023
2012,0.000000,0.000024
