year,Glennon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,11
1915,12
1916,25
1917,13
1918,15
1919,12
1920,25
1921,20
1922,26
1923,26
1924,21
1925,16
1926,31
1927,22
1928,31
1929,25
1930,25
1931,14
1932,17
1933,20
1934,17
1935,7
1936,24
1937,17
1938,24
1939,20
1940,17
1941,24
1942,15
1943,26
1944,13
1945,21
1946,25
1947,25
1948,23
1949,22
1950,22
1951,26
1952,21
1953,24
1954,19
1955,19
1956,15
1957,33
1958,18
1959,23
1960,16
1961,28
1962,20
1963,21
1964,18
1965,19
1966,5
1967,15
1968,8
1969,12
1970,19
1971,10
1972,6
1973,0
1974,9
1975,6
1976,0
1977,0
1978,0
1979,6
1980,0
1981,5
1982,6
1983,6
1984,0
1985,5
1986,12
1987,9
1988,0
1989,6
1990,6
1991,6
1992,0
1993,0
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
