year,Glena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,5
1909,0
1910,0
1911,5
1912,8
1913,13
1914,9
1915,13
1916,9
1917,20
1918,25
1919,18
1920,19
1921,20
1922,17
1923,16
1924,25
1925,18
1926,19
1927,16
1928,19
1929,12
1930,24
1931,23
1932,21
1933,21
1934,27
1935,20
1936,19
1937,20
1938,18
1939,16
1940,17
1941,16
1942,20
1943,18
1944,13
1945,16
1946,9
1947,20
1948,16
1949,16
1950,31
1951,21
1952,15
1953,16
1954,17
1955,20
1956,24
1957,22
1958,18
1959,23
1960,22
1961,18
1962,14
1963,15
1964,18
1965,0
1966,9
1967,11
1968,15
1969,8
1970,14
1971,0
1972,8
1973,0
1974,7
1975,7
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
