year,Gilford
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,5
1888,5
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,5
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,6
1909,6
1910,6
1911,0
1912,8
1913,12
1914,24
1915,16
1916,25
1917,27
1918,19
1919,27
1920,29
1921,23
1922,40
1923,34
1924,23
1925,19
1926,22
1927,26
1928,27
1929,25
1930,22
1931,20
1932,25
1933,18
1934,19
1935,21
1936,17
1937,17
1938,26
1939,11
1940,17
1941,16
1942,23
1943,16
1944,13
1945,19
1946,10
1947,13
1948,21
1949,14
1950,23
1951,21
1952,20
1953,19
1954,20
1955,20
1956,22
1957,17
1958,17
1959,19
1960,15
1961,12
1962,22
1963,12
1964,7
1965,17
1966,9
1967,0
1968,7
1969,9
1970,6
1971,6
1972,8
1973,12
1974,5
1975,8
1976,7
1977,0
1978,0
1979,0
1980,9
1981,0
1982,8
1983,5
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
