year,Ginnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,5
1929,0
1930,0
1931,5
1932,7
1933,7
1934,5
1935,0
1936,6
1937,11
1938,7
1939,0
1940,0
1941,0
1942,11
1943,9
1944,16
1945,16
1946,12
1947,10
1948,21
1949,10
1950,12
1951,15
1952,9
1953,15
1954,7
1955,18
1956,15
1957,13
1958,21
1959,19
1960,30
1961,19
1962,21
1963,23
1964,12
1965,17
1966,16
1967,8
1968,7
1969,11
1970,7
1971,15
1972,28
1973,13
1974,17
1975,17
1976,19
1977,12
1978,11
1979,16
1980,20
1981,17
1982,16
1983,15
1984,11
1985,11
1986,8
1987,6
1988,9
1989,0
1990,6
1991,7
1992,0
1993,0
1994,0
1995,0
1996,5
1997,8
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
