year,Gweneth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,11
1915,8
1916,11
1917,13
1918,17
1919,15
1920,15
1921,11
1922,19
1923,12
1924,10
1925,11
1926,12
1927,16
1928,9
1929,12
1930,16
1931,11
1932,11
1933,9
1934,7
1935,15
1936,11
1937,7
1938,6
1939,13
1940,6
1941,21
1942,12
1943,11
1944,7
1945,5
1946,8
1947,15
1948,6
1949,13
1950,10
1951,10
1952,10
1953,11
1954,13
1955,11
1956,13
1957,10
1958,0
1959,7
1960,5
1961,9
1962,0
1963,8
1964,0
1965,0
1966,6
1967,0
1968,0
1969,0
1970,8
1971,5
1972,5
1973,0
1974,0
1975,0
1976,5
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,7
1998,10
1999,13
2000,18
2001,27
2002,22
2003,38
2004,39
2005,30
2006,30
2007,35
2008,52
2009,45
2010,35
2011,42
2012,27
