year,Gusta
1880,0
1881,7
1882,0
1883,5
1884,11
1885,9
1886,7
1887,10
1888,7
1889,6
1890,10
1891,15
1892,11
1893,8
1894,12
1895,17
1896,8
1897,19
1898,16
1899,8
1900,9
1901,11
1902,6
1903,7
1904,12
1905,15
1906,10
1907,9
1908,5
1909,9
1910,16
1911,9
1912,15
1913,11
1914,12
1915,18
1916,16
1917,18
1918,17
1919,20
1920,16
1921,13
1922,16
1923,7
1924,14
1925,5
1926,12
1927,7
1928,8
1929,9
1930,0
1931,5
1932,11
1933,0
1934,8
1935,0
1936,0
1937,0
1938,6
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
