year,Garen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,0
1944,10
1945,0
1946,5
1947,15
1948,11
1949,6
1950,9
1951,11
1952,10
1953,6
1954,6
1955,10
1956,0
1957,5
1958,5
1959,9
1960,5
1961,11
1962,7
1963,7
1964,8
1965,6
1966,11
1967,7
1968,10
1969,12
1970,10
1971,10
1972,6
1973,8
1974,8
1975,6
1976,8
1977,7
1978,9
1979,17
1980,15
1981,18
1982,20
1983,17
1984,13
1985,18
1986,18
1987,23
1988,25
1989,20
1990,22
1991,26
1992,14
1993,26
1994,18
1995,18
1996,15
1997,20
1998,19
1999,18
2000,20
2001,17
2002,23
2003,19
2004,18
2005,21
2006,28
2007,22
2008,18
2009,16
2010,23
2011,17
2012,25
