year,Gunnar (F),Gunnar (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000014
1910,0.000000,0.000008
1911,0.000000,0.000000
1912,0.000000,0.000013
1913,0.000000,0.000018
1914,0.000000,0.000009
1915,0.000000,0.000013
1916,0.000000,0.000010
1917,0.000000,0.000011
1918,0.000000,0.000012
1919,0.000000,0.000007
1920,0.000000,0.000005
1921,0.000000,0.000005
1922,0.000000,0.000007
1923,0.000000,0.000003
1924,0.000000,0.000005
1925,0.000000,0.000010
1926,0.000000,0.000008
1927,0.000000,0.000006
1928,0.000000,0.000007
1929,0.000000,0.000005
1930,0.000000,0.000006
1931,0.000000,0.000005
1932,0.000000,0.000012
1933,0.000000,0.000005
1934,0.000000,0.000004
1935,0.000000,0.000004
1936,0.000000,0.000003
1937,0.000000,0.000004
1938,0.000000,0.000005
1939,0.000000,0.000004
1940,0.000000,0.000003
1941,0.000000,0.000004
1942,0.000000,0.000003
1943,0.000000,0.000004
1944,0.000000,0.000004
1945,0.000000,0.000003
1946,0.000000,0.000004
1947,0.000000,0.000003
1948,0.000000,0.000004
1949,0.000000,0.000003
1950,0.000000,0.000005
1951,0.000000,0.000005
1952,0.000000,0.000002
1953,0.000000,0.000007
1954,0.000000,0.000003
1955,0.000000,0.000004
1956,0.000000,0.000005
1957,0.000000,0.000004
1958,0.000000,0.000008
1959,0.000000,0.000004
1960,0.000000,0.000005
1961,0.000000,0.000007
1962,0.000000,0.000005
1963,0.000000,0.000005
1964,0.000000,0.000006
1965,0.000000,0.000005
1966,0.000000,0.000005
1967,0.000000,0.000005
1968,0.000000,0.000008
1969,0.000000,0.000007
1970,0.000000,0.000008
1971,0.000000,0.000011
1972,0.000000,0.000005
1973,0.000000,0.000008
1974,0.000000,0.000009
1975,0.000000,0.000009
1976,0.000000,0.000005
1977,0.000000,0.000004
1978,0.000000,0.000007
1979,0.000000,0.000007
1980,0.000000,0.000006
1981,0.000000,0.000005
1982,0.000000,0.000005
1983,0.000000,0.000005
1984,0.000000,0.000008
1985,0.000000,0.000006
1986,0.000000,0.000010
1987,0.000000,0.000011
1988,0.000000,0.000009
1989,0.000000,0.000015
1990,0.000000,0.000014
1991,0.000000,0.000053
1992,0.000000,0.000050
1993,0.000000,0.000050
1994,0.000000,0.000092
1995,0.000000,0.000087
1996,0.000000,0.000092
1997,0.000000,0.000096
1998,0.000000,0.000112
1999,0.000000,0.000100
2000,0.000000,0.000093
2001,0.000000,0.000095
2002,0.000000,0.000107
2003,0.000000,0.000098
2004,0.000002,0.000103
2005,0.000000,0.000117
2006,0.000000,0.000130
2007,0.000000,0.000116
2008,0.000000,0.000124
2009,0.000000,0.000126
2010,0.000000,0.000124
2011,0.000000,0.000142
2012,0.000000,0.000165
