year,Garald
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,8
1916,0
1917,6
1918,8
1919,0
1920,8
1921,5
1922,8
1923,8
1924,0
1925,10
1926,5
1927,6
1928,7
1929,6
1930,7
1931,0
1932,7
1933,7
1934,5
1935,7
1936,8
1937,11
1938,12
1939,13
1940,11
1941,17
1942,13
1943,12
1944,11
1945,10
1946,13
1947,14
1948,12
1949,25
1950,16
1951,11
1952,12
1953,8
1954,16
1955,9
1956,11
1957,10
1958,8
1959,12
1960,8
1961,0
1962,6
1963,0
1964,5
1965,0
1966,5
1967,5
1968,8
1969,0
1970,5
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,6
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
