year,Georgeann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,13
1918,6
1919,6
1920,8
1921,7
1922,7
1923,9
1924,7
1925,10
1926,8
1927,0
1928,14
1929,12
1930,14
1931,18
1932,12
1933,16
1934,19
1935,20
1936,24
1937,25
1938,39
1939,42
1940,44
1941,64
1942,82
1943,69
1944,64
1945,61
1946,76
1947,86
1948,73
1949,69
1950,80
1951,71
1952,77
1953,79
1954,75
1955,58
1956,55
1957,58
1958,59
1959,45
1960,52
1961,45
1962,38
1963,24
1964,31
1965,38
1966,28
1967,27
1968,33
1969,27
1970,26
1971,22
1972,21
1973,17
1974,19
1975,15
1976,13
1977,14
1978,15
1979,0
1980,13
1981,12
1982,8
1983,5
1984,5
1985,11
1986,0
1987,5
1988,0
1989,0
1990,0
1991,7
1992,5
1993,5
1994,8
1995,6
1996,8
1997,5
1998,5
1999,7
2000,0
2001,5
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
