year,Guyla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,10
1917,8
1918,0
1919,7
1920,5
1921,6
1922,9
1923,6
1924,8
1925,5
1926,9
1927,5
1928,10
1929,5
1930,5
1931,5
1932,8
1933,5
1934,8
1935,8
1936,5
1937,9
1938,6
1939,11
1940,9
1941,9
1942,10
1943,9
1944,5
1945,6
1946,12
1947,9
1948,10
1949,11
1950,0
1951,10
1952,13
1953,12
1954,18
1955,14
1956,15
1957,17
1958,7
1959,16
1960,11
1961,8
1962,9
1963,8
1964,12
1965,7
1966,6
1967,8
1968,5
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
