year,Glory
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,5
1917,13
1918,11
1919,8
1920,10
1921,10
1922,9
1923,12
1924,16
1925,20
1926,25
1927,19
1928,25
1929,21
1930,17
1931,24
1932,21
1933,22
1934,28
1935,23
1936,21
1937,21
1938,19
1939,26
1940,32
1941,25
1942,31
1943,36
1944,28
1945,56
1946,38
1947,47
1948,49
1949,47
1950,42
1951,43
1952,70
1953,52
1954,53
1955,47
1956,53
1957,61
1958,57
1959,60
1960,63
1961,58
1962,66
1963,56
1964,39
1965,52
1966,36
1967,23
1968,37
1969,35
1970,40
1971,37
1972,33
1973,30
1974,38
1975,31
1976,35
1977,20
1978,30
1979,33
1980,31
1981,26
1982,24
1983,36
1984,21
1985,20
1986,24
1987,22
1988,22
1989,32
1990,33
1991,26
1992,33
1993,36
1994,34
1995,27
1996,41
1997,58
1998,35
1999,50
2000,50
2001,55
2002,58
2003,63
2004,62
2005,66
2006,66
2007,65
2008,62
2009,54
2010,80
2011,65
2012,86
