year,Gina (F),Gina (M)
1880,0.000035,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000041,0.000000
1884,0.000000,0.000000
1885,0.000042,0.000000
1886,0.000020,0.000000
1887,0.000028,0.000000
1888,0.000023,0.000000
1889,0.000000,0.000000
1890,0.000043,0.000000
1891,0.000021,0.000000
1892,0.000033,0.000000
1893,0.000031,0.000000
1894,0.000047,0.000000
1895,0.000014,0.000000
1896,0.000028,0.000000
1897,0.000023,0.000000
1898,0.000000,0.000000
1899,0.000027,0.000000
1900,0.000013,0.000000
1901,0.000017,0.000000
1902,0.000016,0.000000
1903,0.000016,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000014,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000016,0.000000
1910,0.000010,0.000000
1911,0.000009,0.000000
1912,0.000017,0.000000
1913,0.000012,0.000000
1914,0.000017,0.000000
1915,0.000008,0.000000
1916,0.000015,0.000000
1917,0.000008,0.000000
1918,0.000010,0.000000
1919,0.000009,0.000000
1920,0.000015,0.000000
1921,0.000015,0.000000
1922,0.000012,0.000000
1923,0.000013,0.000000
1924,0.000013,0.000000
1925,0.000009,0.000000
1926,0.000016,0.000000
1927,0.000011,0.000000
1928,0.000011,0.000000
1929,0.000010,0.000000
1930,0.000015,0.000000
1931,0.000018,0.000000
1932,0.000014,0.000000
1933,0.000011,0.000000
1934,0.000012,0.000000
1935,0.000016,0.000000
1936,0.000014,0.000000
1937,0.000018,0.000000
1938,0.000016,0.000000
1939,0.000017,0.000000
1940,0.000017,0.000000
1941,0.000016,0.000000
1942,0.000021,0.000000
1943,0.000021,0.000000
1944,0.000018,0.000000
1945,0.000034,0.000000
1946,0.000034,0.000000
1947,0.000051,0.000000
1948,0.000057,0.000000
1949,0.000047,0.000000
1950,0.000053,0.000000
1951,0.000059,0.000000
1952,0.000088,0.000000
1953,0.000107,0.000000
1954,0.000223,0.000000
1955,0.000459,0.000000
1956,0.000475,0.000000
1957,0.000501,0.000000
1958,0.000682,0.000000
1959,0.000776,0.000001
1960,0.000858,0.000001
1961,0.000935,0.000003
1962,0.001096,0.000003
1963,0.001349,0.000003
1964,0.001346,0.000003
1965,0.001453,0.000003
1966,0.001828,0.000004
1967,0.001874,0.000004
1968,0.001788,0.000006
1969,0.001700,0.000004
1970,0.001629,0.000006
1971,0.001434,0.000007
1972,0.001290,0.000008
1973,0.001226,0.000006
1974,0.001171,0.000003
1975,0.001135,0.000003
1976,0.000992,0.000000
1977,0.001017,0.000004
1978,0.001015,0.000005
1979,0.000936,0.000004
1980,0.000868,0.000006
1981,0.000809,0.000002
1982,0.000679,0.000000
1983,0.000699,0.000003
1984,0.000735,0.000003
1985,0.000694,0.000003
1986,0.000664,0.000003
1987,0.000629,0.000003
1988,0.000549,0.000003
1989,0.000564,0.000002
1990,0.000559,0.000002
1991,0.000471,0.000002
1992,0.000479,0.000002
1993,0.000455,0.000000
1994,0.000410,0.000000
1995,0.000382,0.000000
1996,0.000326,0.000000
1997,0.000317,0.000000
1998,0.000276,0.000000
1999,0.000271,0.000000
2000,0.000226,0.000000
2001,0.000200,0.000000
2002,0.000187,0.000000
2003,0.000169,0.000000
2004,0.000129,0.000000
2005,0.000124,0.000000
2006,0.000102,0.000000
2007,0.000089,0.000000
2008,0.000083,0.000000
2009,0.000068,0.000000
2010,0.000056,0.000000
2011,0.000044,0.000000
2012,0.000047,0.000000
