year,Guiseppe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,6
1913,8
1914,10
1915,13
1916,11
1917,7
1918,14
1919,10
1920,17
1921,11
1922,8
1923,5
1924,6
1925,8
1926,6
1927,11
1928,8
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,6
1966,10
1967,0
1968,0
1969,12
1970,7
1971,9
1972,9
1973,7
1974,12
1975,12
1976,5
1977,10
1978,6
1979,10
1980,6
1981,11
1982,0
1983,8
1984,10
1985,5
1986,7
1987,10
1988,6
1989,13
1990,24
1991,7
1992,10
1993,12
1994,10
1995,9
1996,10
1997,10
1998,12
1999,10
2000,9
2001,8
2002,9
2003,6
2004,7
2005,13
2006,6
2007,8
2008,7
2009,5
2010,0
2011,5
2012,0
